Date;Year;Month;Day;Weekday;Name;Type;Details
01/01/2004;2004;1;1;Thursday;New Year's Day;Federal Holiday; 
06/01/2004;2004;1;6;Tuesday;Epiphany;Christian; 
07/01/2004;2004;1;7;Wednesday;Orthodox Christmas Day;Orthodox; 
13/01/2004;2004;1;13;Tuesday;Stephen Foster Memorial Day;Observance; 
14/01/2004;2004;1;14;Wednesday;Orthodox New Year;Orthodox; 
16/01/2004;2004;1;16;Friday;Lee-Jackson Day;State holiday;Virginia
19/01/2004;2004;1;19;Monday;Martin Luther King Jr. Day;Federal Holiday; 
19/01/2004;2004;1;19;Monday;Robert E. Lee's Birthday;State holiday;Florida
19/01/2004;2004;1;19;Monday;Robert E. Lee's Birthday;State holiday;Alabama
19/01/2004;2004;1;19;Monday;Robert E. Lee's Birthday;State holiday;AR, GA, MS
19/01/2004;2004;1;19;Monday;Confederate Heroes' Day;State holiday;Texas
19/01/2004;2004;1;19;Monday;Idaho Human Rights Day;State holiday;Idaho
19/01/2004;2004;1;19;Monday;Civil Rights Day;State holiday;Arizona, New Hampshire
22/01/2004;2004;1;22;Thursday;Chinese New Year;Observance; 
29/01/2004;2004;1;29;Thursday;Kansas Day;Observance; 
01/02/2004;2004;2;1;Sunday;National Freedom Day;Observance; 
01/02/2004;2004;2;1;Sunday;Super Bowl;Sporting event; 
01/02/2004;2004;2;1;Sunday;First Day of Black History Month;Annual monthly observance; 
02/02/2004;2004;2;2;Monday;Eid al-Adha;Muslim; 
02/02/2004;2004;2;2;Monday;Groundhog Day;Observance; 
04/02/2004;2004;2;4;Wednesday;Rosa Parks Day;Local observance;California
06/02/2004;2004;2;6;Friday;National Wear Red Day;Observance; 
07/02/2004;2004;2;7;Saturday;Tu Bishvat/Tu B'Shevat;Jewish holiday; 
12/02/2004;2004;2;12;Thursday;Lincoln's Birthday;State holiday;CA, CT, IL, MO, NJ, NY
14/02/2004;2004;2;14;Saturday;Valentine's Day;Observance; 
14/02/2004;2004;2;14;Saturday;Statehood Day;Local observance;Arizona
15/02/2004;2004;2;15;Sunday;Susan B. Anthony's Birthday;Local observance;New York, Wisconsin
16/02/2004;2004;2;16;Monday;Presidents' Day;Federal Holiday;All except DE, GA, IA, IN, KS, KY, LA, NC, NM, RI, WI
16/02/2004;2004;2;16;Monday;Daisy Gatson Bates Day;State holiday;Arkansas
