Date;Year;Month;Day;Weekday;Name;Type;Details
01/01/2015;2015;1;1;Thursday;New Year's Day;Federal Holiday; 
03/01/2015;2015;1;3;Saturday;The Prophet's Birthday;Muslim; 
06/01/2015;2015;1;6;Tuesday;Epiphany;Christian; 
07/01/2015;2015;1;7;Wednesday;Orthodox Christmas Day;Orthodox; 
13/01/2015;2015;1;13;Tuesday;Stephen Foster Memorial Day;Observance; 
14/01/2015;2015;1;14;Wednesday;Orthodox New Year;Orthodox; 
16/01/2015;2015;1;16;Friday;Lee-Jackson Day;State holiday;Virginia
19/01/2015;2015;1;19;Monday;Martin Luther King Jr. Day;Federal Holiday; 
19/01/2015;2015;1;19;Monday;Robert E. Lee's Birthday;State holiday;Alabama
19/01/2015;2015;1;19;Monday;Robert E. Lee's Birthday;State holiday;Florida
19/01/2015;2015;1;19;Monday;Robert E. Lee's Birthday;State holiday;Arkansas, Mississippi
19/01/2015;2015;1;19;Monday;Confederate Heroes' Day;State holiday;Texas
19/01/2015;2015;1;19;Monday;Idaho Human Rights Day;State holiday;Idaho
19/01/2015;2015;1;19;Monday;Civil Rights Day;State holiday;Arizona, New Hampshire
29/01/2015;2015;1;29;Thursday;Kansas Day;Observance; 
01/02/2015;2015;2;1;Sunday;National Freedom Day;Observance; 
01/02/2015;2015;2;1;Sunday;Super Bowl;Sporting event; 
01/02/2015;2015;2;1;Sunday;First Day of Black History Month;Annual monthly observance; 
02/02/2015;2015;2;2;Monday;Groundhog Day;Observance; 
04/02/2015;2015;2;4;Wednesday;Tu Bishvat/Tu B'Shevat;Jewish holiday; 
04/02/2015;2015;2;4;Wednesday;Rosa Parks Day;Local observance;California, Missouri
06/02/2015;2015;2;6;Friday;National Wear Red Day;Observance; 
12/02/2015;2015;2;12;Thursday;Lincoln's Birthday;State holiday;CT, IL, MO, NY
12/02/2015;2015;2;12;Thursday;Lincoln's Birthday;Local observance;Florida
14/02/2015;2015;2;14;Saturday;Valentine's Day;Observance; 
14/02/2015;2015;2;14;Saturday;Statehood Day;Local observance;Arizona
15/02/2015;2015;2;15;Sunday;Susan B. Anthony's Birthday;Local observance;CA, FL, NY, WI
16/02/2015;2015;2;16;Monday;Maha Shivaratri;Hindu Holiday; 
16/02/2015;2015;2;16;Monday;Presidents' Day;Federal Holiday;All except DE, GA, IA, IN, KS, KY, LA, NC, NM, RI, WI
16/02/2015;2015;2;16;Monday;Daisy Gatson Bates Day;State holiday;Arkansas
16/02/2015;2015;2;16;Monday;Elizabeth Peratrovich Day;Local observance;Alaska
17/02/2015;2015;2;17;Tuesday;Shrove Tuesday/Mardi Gras;Observance, Christian; 
17/02/2015;2015;2;17;Tuesday;Shrove Tuesday/Mardi Gras;State holiday;AL**, FL*, LA, MS*
18/02/2015;2015;2;18;Wednesday;Ash Wednesday;Christian; 
19/02/2015;2015;2;19;Thursday;Chinese New Year;Observance; 
28/02/2015;2015;2;28;Saturday;Linus Pauling Day;Local observance;Oregon
01/03/2015;2015;3;1;Sunday;St. David's Day;Observance, Christian; 
01/03/2015;2015;3;1;Sunday;First Day of Women's History Month;Annual monthly observance; 
02/03/2015;2015;3;2;Monday;Texas Independence Day;State holiday;Texas
02/03/2015;2015;3;2;Monday;Casimir Pulaski Day;Local observance;Illinois*
02/03/2015;2015;3;2;Monday;Read Across America Day;Observance; 
03/03/2015;2015;3;3;Tuesday;Town Meeting Day;State holiday;Vermont
05/03/2015;2015;3;5;Thursday;Holi;Hindu Holiday; 
05/03/2015;2015;3;5;Thursday;Purim;Jewish holiday; 
06/03/2015;2015;3;6;Friday;Employee Appreciation Day;Observance; 
08/03/2015;2015;3;8;Sunday;Daylight Saving Time starts;Clock change/Daylight Saving Time; 
17/03/2015;2015;3;17;Tuesday;St. Patrick's Day;Observance, Christian; 
17/03/2015;2015;3;17;Tuesday;Evacuation Day;State holiday;Massachusetts**
20/03/2015;2015;3;20;Friday;March Equinox;Season; 
25/03/2015;2015;3;25;Wednesday;Maryland Day;Local observance;Maryland
26/03/2015;2015;3;26;Thursday;Prince Jonah Kuhio Kalanianaole Day;State holiday;Hawaii
29/03/2015;2015;3;29;Sunday;Palm Sunday;Christian; 
30/03/2015;2015;3;30;Monday;Seward's Day;State holiday;Alaska
31/03/2015;2015;3;31;Tuesday;César Chávez Day;State holiday;AZ**, CA**, CO***, MI**, NM**, NV**, TX***, UT**, WA**, WI**
02/04/2015;2015;4;2;Thursday;Maundy Thursday;Christian; 
02/04/2015;2015;4;2;Thursday;Pascua Florida Day;Local observance;Florida
