Date;Year;Month;Day;Weekday;Name;Type;Details
01/01/2009;2009;1;1;Thursday;New Year's Day;Federal Holiday; 
06/01/2009;2009;1;6;Tuesday;Epiphany;Christian; 
07/01/2009;2009;1;7;Wednesday;Orthodox Christmas Day;Orthodox; 
13/01/2009;2009;1;13;Tuesday;Stephen Foster Memorial Day;Observance; 
14/01/2009;2009;1;14;Wednesday;Orthodox New Year;Orthodox; 
16/01/2009;2009;1;16;Friday;Lee-Jackson Day;State holiday;Virginia
19/01/2009;2009;1;19;Monday;Martin Luther King Jr. Day;Federal Holiday; 
19/01/2009;2009;1;19;Monday;Robert E. Lee's Birthday;State holiday;Arkansas
19/01/2009;2009;1;19;Monday;Robert E. Lee's Birthday;State holiday;AL, GA, MS
19/01/2009;2009;1;19;Monday;Robert E. Lee's Birthday;State holiday;Florida
19/01/2009;2009;1;19;Monday;Confederate Heroes' Day;State holiday;Texas
19/01/2009;2009;1;19;Monday;Idaho Human Rights Day;State holiday;Idaho
19/01/2009;2009;1;19;Monday;Civil Rights Day;State holiday;Arizona, New Hampshire
20/01/2009;2009;1;20;Tuesday;Inauguration Day;State holiday;DC, LA, MD, VA
26/01/2009;2009;1;26;Monday;Chinese New Year;Observance; 
29/01/2009;2009;1;29;Thursday;Kansas Day;Observance; 
01/02/2009;2009;2;1;Sunday;National Freedom Day;Observance; 
01/02/2009;2009;2;1;Sunday;Super Bowl;Sporting event; 
01/02/2009;2009;2;1;Sunday;First Day of Black History Month;Annual monthly observance; 
02/02/2009;2009;2;2;Monday;Groundhog Day;Observance; 
04/02/2009;2009;2;4;Wednesday;Rosa Parks Day;Local observance;California
06/02/2009;2009;2;6;Friday;National Wear Red Day;Observance; 
09/02/2009;2009;2;9;Monday;Tu Bishvat/Tu B'Shevat;Jewish holiday; 
12/02/2009;2009;2;12;Thursday;Lincoln's Birthday;State holiday;CA, CT, IL, MO, NJ, NY
14/02/2009;2009;2;14;Saturday;Valentine's Day;Observance; 
14/02/2009;2009;2;14;Saturday;Statehood Day;Local observance;Arizona
15/02/2009;2009;2;15;Sunday;Susan B. Anthony's Birthday;Local observance;New York, Wisconsin
16/02/2009;2009;2;16;Monday;Presidents' Day;Federal Holiday;All except DE, GA, IA, IN, KS, KY, LA, NC, NM, RI, WI
16/02/2009;2009;2;16;Monday;Daisy Gatson Bates Day;State holiday;Arkansas
16/02/2009;2009;2;16;Monday;Elizabeth Peratrovich Day;Local observance;Alaska
22/02/2009;2009;2;22;Sunday;Maha Shivaratri;Hindu Holiday; 
24/02/2009;2009;2;24;Tuesday;Shrove Tuesday/Mardi Gras;State holiday;Alabama*, Louisiana
24/02/2009;2009;2;24;Tuesday;Shrove Tuesday/Mardi Gras;Observance, Christian; 
25/02/2009;2009;2;25;Wednesday;Ash Wednesday;Christian; 
28/02/2009;2009;2;28;Saturday;Linus Pauling Day;Local observance;Oregon
01/03/2009;2009;3;1;Sunday;St. David's Day;Observance, Christian; 
01/03/2009;2009;3;1;Sunday;First Day of Women's History Month;Annual monthly observance; 
02/03/2009;2009;3;2;Monday;Texas Independence Day;State holiday;Texas
02/03/2009;2009;3;2;Monday;Casimir Pulaski Day;Local observance;Illinois**
02/03/2009;2009;3;2;Monday;Read Across America Day;Observance; 
03/03/2009;2009;3;3;Tuesday;Town Meeting Day;State holiday;Vermont
06/03/2009;2009;3;6;Friday;Employee Appreciation Day;Observance; 
08/03/2009;2009;3;8;Sunday;Daylight Saving Time starts;Clock change/Daylight Saving Time; 
09/03/2009;2009;3;9;Monday;The Prophet's Birthday;Muslim; 
10/03/2009;2009;3;10;Tuesday;Purim;Jewish holiday; 
11/03/2009;2009;3;11;Wednesday;Holi;Hindu Holiday; 
17/03/2009;2009;3;17;Tuesday;St. Patrick's Day;Observance, Christian; 
17/03/2009;2009;3;17;Tuesday;Evacuation Day;State holiday;Massachusetts*
20/03/2009;2009;3;20;Friday;March Equinox;Season; 
25/03/2009;2009;3;25;Wednesday;Maryland Day;Local observance;Maryland
26/03/2009;2009;3;26;Thursday;Prince Jonah Kuhio Kalanianaole Day;State holiday;Hawaii
30/03/2009;2009;3;30;Monday;Seward's Day;State holiday;Alaska
31/03/2009;2009;3;31;Tuesday;César Chávez Day;State holiday;CA*, CO***, TX***
02/04/2009;2009;4;2;Thursday;Pascua Florida Day;Local observance;Florida
05/04/2009;2009;4;5;Sunday;Palm Sunday;Christian; 
06/04/2009;2009;4;6;Monday;National Tartan Day;Observance; 
09/04/2009;2009;4;9;Thursday;Maundy Thursday;Christian; 
09/04/2009;2009;4;9;Thursday;Passover (first day);Jewish holiday; 
10/04/2009;2009;4;10;Friday;Good Friday;State holiday;CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***
11/04/2009;2009;4;11;Saturday;Holy Saturday;Christian; 
12/04/2009;2009;4;12;Sunday;Easter Sunday;Observance, Christian; 
13/04/2009;2009;4;13;Monday;Easter Monday;Observance, Christian; 
14/04/2009;2009;4;14;Tuesday;National Library Workers' Day;Observance; 
15/04/2009;2009;4;15;Wednesday;Tax Day;Observance; 
15/04/2009;2009;4;15;Wednesday;Father Damien Day;Local observance;Hawaii
16/04/2009;2009;4;16;Thursday;Last Day of Passover;Jewish holiday; 
16/04/2009;2009;4;16;Thursday;Emancipation Day;State holiday;DC
17/04/2009;2009;4;17;Friday;Orthodox Good Friday;Orthodox; 
18/04/2009;2009;4;18;Saturday;Orthodox Holy Saturday;Orthodox; 
19/04/2009;2009;4;19;Sunday;Orthodox Easter;Orthodox; 
20/04/2009;2009;4;20;Monday;Orthodox Easter Monday;Orthodox; 
20/04/2009;2009;4;20;Monday;Patriot's Day;State holiday;Maine, Massachusetts
20/04/2009;2009;4;20;Monday;Boston Marathon;Sporting event; 
21/04/2009;2009;4;21;Tuesday;Yom HaShoah;Jewish commemoration; 
21/04/2009;2009;4;21;Tuesday;San Jacinto Day;State holiday;Texas
22/04/2009;2009;4;22;Wednesday;Oklahoma Day;Local observance;Oklahoma
22/04/2009;2009;4;22;Wednesday;Administrative Professionals Day;Observance; 
23/04/2009;2009;4;23;Thursday;Take our Daughters and Sons to Work Day;Observance; 
24/04/2009;2009;4;24;Friday;Arbor Day;State holiday;Nebraska
26/04/2009;2009;4;26;Sunday;Confederate Heroes' Day;Local observance;Florida
27/04/2009;2009;4;27;Monday;Confederate Memorial Day;State holiday;Mississippi
27/04/2009;2009;4;27;Monday;Confederate Memorial Day;State holiday;Alabama
27/04/2009;2009;4;27;Monday;Confederate Heroes' Day observed;Local observance;Florida
