Date;Year;Month;Day;Weekday;Name;Type;Details
01/01/2011;2011;1;1;Saturday;New Year's Day;Federal Holiday; 
06/01/2011;2011;1;6;Thursday;Epiphany;Christian; 
07/01/2011;2011;1;7;Friday;Orthodox Christmas Day;Orthodox; 
13/01/2011;2011;1;13;Thursday;Stephen Foster Memorial Day;Observance; 
14/01/2011;2011;1;14;Friday;Orthodox New Year;Orthodox; 
14/01/2011;2011;1;14;Friday;Lee-Jackson Day;State holiday;Virginia
17/01/2011;2011;1;17;Monday;Martin Luther King Jr. Day;Federal Holiday; 
17/01/2011;2011;1;17;Monday;Robert E. Lee's Birthday;State holiday;Alabama, Georgia
17/01/2011;2011;1;17;Monday;Robert E. Lee's Birthday;State holiday;Arkansas, Mississippi
17/01/2011;2011;1;17;Monday;Idaho Human Rights Day;State holiday;Idaho
17/01/2011;2011;1;17;Monday;Civil Rights Day;State holiday;Arizona, New Hampshire
19/01/2011;2011;1;19;Wednesday;Robert E. Lee's Birthday;State holiday;Florida
19/01/2011;2011;1;19;Wednesday;Confederate Heroes' Day;State holiday;Texas
20/01/2011;2011;1;20;Thursday;Tu Bishvat/Tu B'Shevat;Jewish holiday; 
29/01/2011;2011;1;29;Saturday;Kansas Day;Observance; 
01/02/2011;2011;2;1;Tuesday;National Freedom Day;Observance; 
01/02/2011;2011;2;1;Tuesday;First Day of Black History Month;Annual monthly observance; 
02/02/2011;2011;2;2;Wednesday;Groundhog Day;Observance; 
03/02/2011;2011;2;3;Thursday;Chinese New Year;Observance; 
04/02/2011;2011;2;4;Friday;Rosa Parks Day;Local observance;California
04/02/2011;2011;2;4;Friday;National Wear Red Day;Observance; 
06/02/2011;2011;2;6;Sunday;Super Bowl;Sporting event; 
11/02/2011;2011;2;11;Friday;Lincoln's Birthday observed;State holiday;CT, IL, MO, NJ, NY
12/02/2011;2011;2;12;Saturday;Lincoln's Birthday;State holiday;CT, IL, MO, NJ, NY
14/02/2011;2011;2;14;Monday;Valentine's Day;Observance; 
14/02/2011;2011;2;14;Monday;Statehood Day;Local observance;Arizona
15/02/2011;2011;2;15;Tuesday;Susan B. Anthony's Birthday;Local observance;FL, NY, WI
16/02/2011;2011;2;16;Wednesday;The Prophet's Birthday;Muslim; 
16/02/2011;2011;2;16;Wednesday;Elizabeth Peratrovich Day;Local observance;Alaska
21/02/2011;2011;2;21;Monday;Presidents' Day;Federal Holiday;All except DE, GA, IA, IN, KS, KY, LA, NC, NM, RI, WI
21/02/2011;2011;2;21;Monday;Daisy Gatson Bates Day;State holiday;Arkansas
28/02/2011;2011;2;28;Monday;Linus Pauling Day;Local observance;Oregon
01/03/2011;2011;3;1;Tuesday;St. David's Day;Observance, Christian; 
01/03/2011;2011;3;1;Tuesday;Town Meeting Day;State holiday;Vermont
01/03/2011;2011;3;1;Tuesday;First Day of Women's History Month;Annual monthly observance; 
02/03/2011;2011;3;2;Wednesday;Maha Shivaratri;Hindu Holiday; 
02/03/2011;2011;3;2;Wednesday;Texas Independence Day;State holiday;Texas
02/03/2011;2011;3;2;Wednesday;Read Across America Day;Observance; 
04/03/2011;2011;3;4;Friday;Employee Appreciation Day;Observance; 
07/03/2011;2011;3;7;Monday;Casimir Pulaski Day;Local observance;Illinois*
08/03/2011;2011;3;8;Tuesday;Shrove Tuesday/Mardi Gras;State holiday;Alabama**, Louisiana
08/03/2011;2011;3;8;Tuesday;Shrove Tuesday/Mardi Gras;Observance, Christian; 
09/03/2011;2011;3;9;Wednesday;Ash Wednesday;Christian; 
13/03/2011;2011;3;13;Sunday;Daylight Saving Time starts;Clock change/Daylight Saving Time; 
17/03/2011;2011;3;17;Thursday;St. Patrick's Day;Observance, Christian; 
17/03/2011;2011;3;17;Thursday;Evacuation Day;State holiday;Massachusetts**
19/03/2011;2011;3;19;Saturday;Holi;Hindu Holiday; 
20/03/2011;2011;3;20;Sunday;Purim;Jewish holiday; 
20/03/2011;2011;3;20;Sunday;March Equinox;Season; 
25/03/2011;2011;3;25;Friday;Maryland Day;Local observance;Maryland
25/03/2011;2011;3;25;Friday;Prince Jonah Kuhio Kalanianaole Day observed;State holiday;Hawaii
26/03/2011;2011;3;26;Saturday;Prince Jonah Kuhio Kalanianaole Day;State holiday;Hawaii
28/03/2011;2011;3;28;Monday;Seward's Day;State holiday;Alaska
31/03/2011;2011;3;31;Thursday;César Chávez Day;State holiday;CA**, CO***, TX***
01/04/2011;2011;4;1;Friday;Pascua Florida Day observed;Local observance;Florida
02/04/2011;2011;4;2;Saturday;Pascua Florida Day;Local observance;Florida
06/04/2011;2011;4;6;Wednesday;National Tartan Day;Observance; 
12/04/2011;2011;4;12;Tuesday;National Library Workers' Day;Observance; 
15/04/2011;2011;4;15;Friday;Father Damien Day;Local observance;Hawaii
15/04/2011;2011;4;15;Friday;Emancipation Day observed;State holiday;DC
16/04/2011;2011;4;16;Saturday;Emancipation Day;State holiday;DC
17/04/2011;2011;4;17;Sunday;Palm Sunday;Christian; 
18/04/2011;2011;4;18;Monday;Tax Day;Observance; 
18/04/2011;2011;4;18;Monday;Patriot's Day;State holiday;Maine, Massachusetts
18/04/2011;2011;4;18;Monday;Boston Marathon;Sporting event; 
19/04/2011;2011;4;19;Tuesday;Passover (first day);Jewish holiday; 
21/04/2011;2011;4;21;Thursday;Maundy Thursday;Christian; 
21/04/2011;2011;4;21;Thursday;San Jacinto Day;State holiday;Texas
22/04/2011;2011;4;22;Friday;Orthodox Good Friday;Orthodox; 
22/04/2011;2011;4;22;Friday;Good Friday;State holiday;CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***
22/04/2011;2011;4;22;Friday;Oklahoma Day;Local observance;Oklahoma
23/04/2011;2011;4;23;Saturday;Holy Saturday;Christian; 
23/04/2011;2011;4;23;Saturday;Orthodox Holy Saturday;Orthodox; 
24/04/2011;2011;4;24;Sunday;Orthodox Easter;Orthodox; 
24/04/2011;2011;4;24;Sunday;Easter Sunday;Observance, Christian; 
