Date;Year;Month;Day;Weekday;Name;Type;Details
01/01/2006;2006;1;1;Sunday;New Year's Day;Federal Holiday; 
02/01/2006;2006;1;2;Monday;Last Day of Chanukah;Jewish holiday; 
02/01/2006;2006;1;2;Monday;New Year's Day observed;Federal Holiday; 
06/01/2006;2006;1;6;Friday;Epiphany;Christian; 
07/01/2006;2006;1;7;Saturday;Orthodox Christmas Day;Orthodox; 
10/01/2006;2006;1;10;Tuesday;Eid al-Adha;Muslim; 
13/01/2006;2006;1;13;Friday;Lee-Jackson Day;State holiday;Virginia
13/01/2006;2006;1;13;Friday;Stephen Foster Memorial Day;Observance; 
14/01/2006;2006;1;14;Saturday;Orthodox New Year;Orthodox; 
16/01/2006;2006;1;16;Monday;Martin Luther King Jr. Day;Federal Holiday; 
16/01/2006;2006;1;16;Monday;Robert E. Lee's Birthday;State holiday;AL, AR, GA, MS
16/01/2006;2006;1;16;Monday;Idaho Human Rights Day;State holiday;Idaho
16/01/2006;2006;1;16;Monday;Civil Rights Day;State holiday;Arizona, New Hampshire
19/01/2006;2006;1;19;Thursday;Robert E. Lee's Birthday;State holiday;Florida
19/01/2006;2006;1;19;Thursday;Confederate Heroes' Day;State holiday;Texas
29/01/2006;2006;1;29;Sunday;Kansas Day;Observance; 
29/01/2006;2006;1;29;Sunday;Chinese New Year;Observance; 
31/01/2006;2006;1;31;Tuesday;Muharram;Muslim; 
01/02/2006;2006;2;1;Wednesday;National Freedom Day;Observance; 
01/02/2006;2006;2;1;Wednesday;First Day of Black History Month;Annual monthly observance; 
02/02/2006;2006;2;2;Thursday;Groundhog Day;Observance; 
03/02/2006;2006;2;3;Friday;National Wear Red Day;Observance; 
04/02/2006;2006;2;4;Saturday;Rosa Parks Day;Local observance;California
05/02/2006;2006;2;5;Sunday;Super Bowl;Sporting event; 
12/02/2006;2006;2;12;Sunday;Lincoln's Birthday;State holiday;CA, CT, IL, MO, NJ, NY
13/02/2006;2006;2;13;Monday;Tu Bishvat/Tu B'Shevat;Jewish holiday; 
13/02/2006;2006;2;13;Monday;Lincoln's Birthday observed;State holiday;CA, CT, IL, MO, NJ, NY
14/02/2006;2006;2;14;Tuesday;Valentine's Day;Observance; 
14/02/2006;2006;2;14;Tuesday;Statehood Day;Local observance;Arizona
15/02/2006;2006;2;15;Wednesday;Susan B. Anthony's Birthday;Local observance;New York, Wisconsin
16/02/2006;2006;2;16;Thursday;Elizabeth Peratrovich Day;Local observance;Alaska
20/02/2006;2006;2;20;Monday;Presidents' Day;Federal Holiday;All except DE, GA, IA, IN, KS, KY, LA, NC, NM, RI, WI
20/02/2006;2006;2;20;Monday;Daisy Gatson Bates Day;State holiday;Arkansas
28/02/2006;2006;2;28;Tuesday;Shrove Tuesday/Mardi Gras;Observance, Christian; 
