Date;Year;Month;Day;Weekday;Name;Type;Details
01/01/2012;2012;1;1;Sunday;New Year's Day;Federal Holiday; 
02/01/2012;2012;1;2;Monday;New Year's Day observed;Federal Holiday; 
06/01/2012;2012;1;6;Friday;Epiphany;Christian; 
07/01/2012;2012;1;7;Saturday;Orthodox Christmas Day;Orthodox; 
13/01/2012;2012;1;13;Friday;Lee-Jackson Day;State holiday;Virginia
13/01/2012;2012;1;13;Friday;Stephen Foster Memorial Day;Observance; 
14/01/2012;2012;1;14;Saturday;Orthodox New Year;Orthodox; 
16/01/2012;2012;1;16;Monday;Martin Luther King Jr. Day;Federal Holiday; 
16/01/2012;2012;1;16;Monday;Robert E. Lee's Birthday;State holiday;AL, AR, MS
16/01/2012;2012;1;16;Monday;Idaho Human Rights Day;State holiday;Idaho
16/01/2012;2012;1;16;Monday;Civil Rights Day;State holiday;Arizona, New Hampshire
19/01/2012;2012;1;19;Thursday;Robert E. Lee's Birthday;State holiday;Florida
19/01/2012;2012;1;19;Thursday;Confederate Heroes' Day;State holiday;Texas
23/01/2012;2012;1;23;Monday;Chinese New Year;Observance; 
29/01/2012;2012;1;29;Sunday;Kansas Day;Observance; 
01/02/2012;2012;2;1;Wednesday;National Freedom Day;Observance; 
01/02/2012;2012;2;1;Wednesday;First Day of Black History Month;Annual monthly observance; 
02/02/2012;2012;2;2;Thursday;Groundhog Day;Observance; 
03/02/2012;2012;2;3;Friday;National Wear Red Day;Observance; 
04/02/2012;2012;2;4;Saturday;Rosa Parks Day;Local observance;California
05/02/2012;2012;2;5;Sunday;The Prophet's Birthday;Muslim; 
05/02/2012;2012;2;5;Sunday;Super Bowl;Sporting event; 
08/02/2012;2012;2;8;Wednesday;Tu Bishvat/Tu B'Shevat;Jewish holiday; 
12/02/2012;2012;2;12;Sunday;Lincoln's Birthday;State holiday;CT, IL, MO, NY
13/02/2012;2012;2;13;Monday;Lincoln's Birthday observed;State holiday;CT, IL, MO, NY
14/02/2012;2012;2;14;Tuesday;Valentine's Day;Observance; 
14/02/2012;2012;2;14;Tuesday;Statehood Day;Local observance;Arizona
15/02/2012;2012;2;15;Wednesday;Susan B. Anthony's Birthday;Local observance;FL, NY, WI
16/02/2012;2012;2;16;Thursday;Elizabeth Peratrovich Day;Local observance;Alaska
19/02/2012;2012;2;19;Sunday;Maha Shivaratri;Hindu Holiday; 
20/02/2012;2012;2;20;Monday;Presidents' Day;Federal Holiday;All except DE, GA, IA, IN, KS, KY, LA, NC, NM, RI, WI
20/02/2012;2012;2;20;Monday;Daisy Gatson Bates Day;State holiday;Arkansas
21/02/2012;2012;2;21;Tuesday;Shrove Tuesday/Mardi Gras;State holiday;Alabama*, Louisiana
21/02/2012;2012;2;21;Tuesday;Shrove Tuesday/Mardi Gras;Observance, Christian; 
22/02/2012;2012;2;22;Wednesday;Ash Wednesday;Christian; 
28/02/2012;2012;2;28;Tuesday;Linus Pauling Day;Local observance;Oregon
01/03/2012;2012;3;1;Thursday;St. David's Day;Observance, Christian; 
01/03/2012;2012;3;1;Thursday;First Day of Women's History Month;Annual monthly observance; 
02/03/2012;2012;3;2;Friday;Texas Independence Day;State holiday;Texas
02/03/2012;2012;3;2;Friday;Read Across America Day;Observance; 
02/03/2012;2012;3;2;Friday;Employee Appreciation Day;Observance; 
05/03/2012;2012;3;5;Monday;Casimir Pulaski Day;Local observance;Illinois**
06/03/2012;2012;3;6;Tuesday;Town Meeting Day;State holiday;Vermont
08/03/2012;2012;3;8;Thursday;Holi;Hindu Holiday; 
08/03/2012;2012;3;8;Thursday;Purim;Jewish holiday; 
11/03/2012;2012;3;11;Sunday;Daylight Saving Time starts;Clock change/Daylight Saving Time; 
16/03/2012;2012;3;16;Friday;Evacuation Day observed;State holiday;Massachusetts*
17/03/2012;2012;3;17;Saturday;St. Patrick's Day;Observance, Christian; 
17/03/2012;2012;3;17;Saturday;Evacuation Day;State holiday;Massachusetts*
20/03/2012;2012;3;20;Tuesday;March Equinox;Season; 
25/03/2012;2012;3;25;Sunday;Maryland Day;Local observance;Maryland
26/03/2012;2012;3;26;Monday;Maryland Day observed;Local observance;Maryland
26/03/2012;2012;3;26;Monday;Prince Jonah Kuhio Kalanianaole Day;State holiday;Hawaii
26/03/2012;2012;3;26;Monday;Seward's Day;State holiday;Alaska
29/03/2012;2012;3;29;Thursday;National Vietnam War Veterans Day;Observance; 
31/03/2012;2012;3;31;Saturday;César Chávez Day;State holiday;CA*, CO***, TX***
01/04/2012;2012;4;1;Sunday;Palm Sunday;Christian; 
02/04/2012;2012;4;2;Monday;Pascua Florida Day;Local observance;Florida
05/04/2012;2012;4;5;Thursday;Maundy Thursday;Christian; 
06/04/2012;2012;4;6;Friday;Good Friday;State holiday;CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***
06/04/2012;2012;4;6;Friday;National Tartan Day;Observance; 
07/04/2012;2012;4;7;Saturday;Holy Saturday;Christian; 
07/04/2012;2012;4;7;Saturday;Passover (first day);Jewish holiday; 
08/04/2012;2012;4;8;Sunday;Easter Sunday;Observance, Christian; 
09/04/2012;2012;4;9;Monday;Easter Monday;Observance, Christian; 
13/04/2012;2012;4;13;Friday;Orthodox Good Friday;Orthodox; 
14/04/2012;2012;4;14;Saturday;Last Day of Passover;Jewish holiday; 
14/04/2012;2012;4;14;Saturday;Orthodox Holy Saturday;Orthodox; 
15/04/2012;2012;4;15;Sunday;Orthodox Easter;Orthodox; 
15/04/2012;2012;4;15;Sunday;Father Damien Day;Local observance;Hawaii
16/04/2012;2012;4;16;Monday;Orthodox Easter Monday;Orthodox; 
16/04/2012;2012;4;16;Monday;Emancipation Day;State holiday;DC
16/04/2012;2012;4;16;Monday;Patriot's Day;State holiday;Maine, Massachusetts
16/04/2012;2012;4;16;Monday;Boston Marathon;Sporting event; 
17/04/2012;2012;4;17;Tuesday;Tax Day;Observance; 
17/04/2012;2012;4;17;Tuesday;National Library Workers' Day;Observance; 
18/04/2012;2012;4;18;Wednesday;Yom HaShoah;Jewish commemoration; 
21/04/2012;2012;4;21;Saturday;San Jacinto Day;State holiday;Texas
22/04/2012;2012;4;22;Sunday;Oklahoma Day;Local observance;Oklahoma
23/04/2012;2012;4;23;Monday;Confederate Memorial Day;State holiday;Alabama
23/04/2012;2012;4;23;Monday;Confederate Heroes' Day;State holiday;Georgia
25/04/2012;2012;4;25;Wednesday;Administrative Professionals Day;Observance; 
26/04/2012;2012;4;26;Thursday;Yom Ha'atzmaut;Jewish holiday; 
26/04/2012;2012;4;26;Thursday;Confederate Heroes' Day;Local observance;Florida
26/04/2012;2012;4;26;Thursday;Take our Daughters and Sons to Work Day;Observance; 
27/04/2012;2012;4;27;Friday;Arbor Day;State holiday;Nebraska
30/04/2012;2012;4;30;Monday;Confederate Memorial Day;State holiday;Mississippi
01/05/2012;2012;5;1;Tuesday;Law Day;Observance; 
01/05/2012;2012;5;1;Tuesday;Loyalty Day;Observance; 
01/05/2012;2012;5;1;Tuesday;Lei Day;Local observance;Hawaii
03/05/2012;2012;5;3;Thursday;National Day of Prayer;Observance; 
04/05/2012;2012;5;4;Friday;Kent State Shootings Remembrance;Local observance;Ohio
04/05/2012;2012;5;4;Friday;Kentucky Oaks;Sporting event; 
04/05/2012;2012;5;4;Friday;Rhode Island Independence Day;Local observance;Rhode Island
05/05/2012;2012;5;5;Saturday;Cinco de Mayo;Observance; 
05/05/2012;2012;5;5;Saturday;Kentucky Derby;Sporting event; 
05/05/2012;2012;5;5;Saturday;National Explosive Ordnance Disposal (EOD) Day;Observance; 
06/05/2012;2012;5;6;Sunday;National Nurses Day;Observance; 
08/05/2012;2012;5;8;Tuesday;Truman Day;State holiday;Missouri
08/05/2012;2012;5;8;Tuesday;Victory in Europe Day;Observance; 
08/05/2012;2012;5;8;Tuesday;Primary Election Day;State holiday;Indiana
08/05/2012;2012;5;8;Tuesday;Primary Election Day;State holiday;West Virginia
10/05/2012;2012;5;10;Thursday;Lag BaOmer;Jewish holiday; 
10/05/2012;2012;5;10;Thursday;Confederate Memorial Day;State holiday;North Carolina, South Carolina
13/05/2012;2012;5;13;Sunday;Mother's Day;Observance; 
15/05/2012;2012;5;15;Tuesday;Peace Officers Memorial Day;Observance; 
17/05/2012;2012;5;17;Thursday;Ascension Day;Christian; 
18/05/2012;2012;5;18;Friday;National Defense Transportation Day;Observance; 
19/05/2012;2012;5;19;Saturday;Armed Forces Day;Observance; 
