Date;Year;Month;Day;Weekday;Name;Type;Details
01/01/2003;2003;1;1;Wednesday;New Year's Day;Federal Holiday;
06/01/2003;2003;1;6;Monday;Epiphany;Christian;
07/01/2003;2003;1;7;Tuesday;Orthodox Christmas Day;Orthodox;
13/01/2003;2003;1;13;Monday;Stephen Foster Memorial Day;Observance;
14/01/2003;2003;1;14;Tuesday;Orthodox New Year;Orthodox;
17/01/2003;2003;1;17;Friday;Lee-Jackson Day;State holiday;Virginia
18/01/2003;2003;1;18;Saturday;Tu Bishvat/Tu B'Shevat;Jewish holiday;
19/01/2003;2003;1;19;Sunday;Robert E. Lee's Birthday;State holiday;Florida
19/01/2003;2003;1;19;Sunday;Confederate Heroes' Day;State holiday;Texas
20/01/2003;2003;1;20;Monday;Martin Luther King Jr. Day;Federal Holiday;
20/01/2003;2003;1;20;Monday;Robert E. Lee's Birthday;State holiday;AL, AR, GA, MS
20/01/2003;2003;1;20;Monday;Idaho Human Rights Day;State holiday;Idaho
20/01/2003;2003;1;20;Monday;Civil Rights Day;State holiday;Arizona, New Hampshire
26/01/2003;2003;1;26;Sunday;Super Bowl;Sporting event;
29/01/2003;2003;1;29;Wednesday;Kansas Day;Observance;
01/02/2003;2003;2;1;Saturday;National Freedom Day;Observance;
01/02/2003;2003;2;1;Saturday;Chinese New Year;Observance;
01/02/2003;2003;2;1;Saturday;First Day of Black History Month;Annual monthly observance;
02/02/2003;2003;2;2;Sunday;Groundhog Day;Observance;
04/02/2003;2003;2;4;Tuesday;Rosa Parks Day;Local observance;California
07/02/2003;2003;2;7;Friday;National Wear Red Day;Observance;
12/02/2003;2003;2;12;Wednesday;Eid al-Adha;Muslim;
12/02/2003;2003;2;12;Wednesday;Lincoln's Birthday;State holiday;CA, CT, IL, MO, NJ, NY
14/02/2003;2003;2;14;Friday;Valentine's Day;Observance;
14/02/2003;2003;2;14;Friday;Statehood Day;Local observance;Arizona
15/02/2003;2003;2;15;Saturday;Susan B. Anthony's Birthday;Local observance;Wisconsin
16/02/2003;2003;2;16;Sunday;Elizabeth Peratrovich Day;Local observance;Alaska
17/02/2003;2003;2;17;Monday;Presidents' Day;Federal Holiday;All except DE, GA, IA, IN, KS, KY, LA, NC, NM, RI, WI
17/02/2003;2003;2;17;Monday;Daisy Gatson Bates Day;State holiday;Arkansas
28/02/2003;2003;2;28;Friday;Linus Pauling Day;Local observance;Oregon
01/03/2003;2003;3;1;Saturday;St. David's Day;Observance, Christian;
01/03/2003;2003;3;1;Saturday;First Day of Women's History Month;Annual monthly observance;
02/03/2003;2003;3;2;Sunday;Texas Independence Day;State holiday;Texas
03/03/2003;2003;3;3;Monday;Casimir Pulaski Day;Local observance;Illinois*
03/03/2003;2003;3;3;Monday;Read Across America Day;Observance;
04/03/2003;2003;3;4;Tuesday;Shrove Tuesday/Mardi Gras;State holiday;Alabama**, Louisiana
04/03/2003;2003;3;4;Tuesday;Shrove Tuesday/Mardi Gras;Observance, Christian;
04/03/2003;2003;3;4;Tuesday;Town Meeting Day;State holiday;Vermont
05/03/2003;2003;3;5;Wednesday;Ash Wednesday;Christian;
05/03/2003;2003;3;5;Wednesday;Muharram;Muslim;
07/03/2003;2003;3;7;Friday;Employee Appreciation Day;Observance;
17/03/2003;2003;3;17;Monday;St. Patrick's Day;Observance, Christian;
17/03/2003;2003;3;17;Monday;Evacuation Day;State holiday;Massachusetts**
18/03/2003;2003;3;18;Tuesday;Purim;Jewish holiday;
20/03/2003;2003;3;20;Thursday;March Equinox;Season;
25/03/2003;2003;3;25;Tuesday;Maryland Day;Local observance;Maryland
26/03/2003;2003;3;26;Wednesday;Prince Jonah Kuhio Kalanianaole Day;State holiday;Hawaii
31/03/2003;2003;3;31;Monday;Seward's Day;State holiday;Alaska
31/03/2003;2003;3;31;Monday;César Chávez Day;State holiday;CA**, CO***, TX***
02/04/2003;2003;4;2;Wednesday;Pascua Florida Day;Local observance;Florida
06/04/2003;2003;4;6;Sunday;Daylight Saving Time starts;Clock change/Daylight Saving Time;
06/04/2003;2003;4;6;Sunday;National Tartan Day;Observance;
13/04/2003;2003;4;13;Sunday;Palm Sunday;Christian;
15/04/2003;2003;4;15;Tuesday;Tax Day;Observance;
15/04/2003;2003;4;15;Tuesday;Father Damien Day;Local observance;Hawaii
16/04/2003;2003;4;16;Wednesday;Emancipation Day;Local observance;
17/04/2003;2003;4;17;Thursday;Maundy Thursday;Christian;
17/04/2003;2003;4;17;Thursday;Passover (first day);Jewish holiday;
18/04/2003;2003;4;18;Friday;Good Friday;State holiday;CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***
19/04/2003;2003;4;19;Saturday;Holy Saturday;Christian;
20/04/2003;2003;4;20;Sunday;Easter Sunday;Observance, Christian;
21/04/2003;2003;4;21;Monday;Easter Monday;Observance, Christian;
21/04/2003;2003;4;21;Monday;Patriot's Day;State holiday;Maine, Massachusetts
21/04/2003;2003;4;21;Monday;San Jacinto Day;State holiday;Texas
21/04/2003;2003;4;21;Monday;Boston Marathon;Sporting event;
