Date;Year;Month;Day;Weekday;Name;Type;Details
01/01/2019;2019;1;1;Tuesday;New Year's Day;Federal Holiday; 
06/01/2019;2019;1;6;Sunday;Epiphany;Christian; 
07/01/2019;2019;1;7;Monday;Orthodox Christmas Day;Orthodox; 
13/01/2019;2019;1;13;Sunday;Stephen Foster Memorial Day;Observance; 
14/01/2019;2019;1;14;Monday;Orthodox New Year;Orthodox; 
18/01/2019;2019;1;18;Friday;Lee-Jackson Day;State holiday;Virginia
19/01/2019;2019;1;19;Saturday;Robert E. Lee's Birthday;State holiday;Florida
19/01/2019;2019;1;19;Saturday;Confederate Heroes' Day;State holiday;Texas
21/01/2019;2019;1;21;Monday;Tu Bishvat/Tu B'Shevat;Jewish holiday; 
21/01/2019;2019;1;21;Monday;Martin Luther King Jr. Day;Federal Holiday; 
21/01/2019;2019;1;21;Monday;Robert E. Lee's Birthday;State holiday;Alabama, Mississippi
21/01/2019;2019;1;21;Monday;Idaho Human Rights Day;State holiday;Idaho
21/01/2019;2019;1;21;Monday;Civil Rights Day;State holiday;Arizona, New Hampshire
29/01/2019;2019;1;29;Tuesday;Kansas Day;Observance; 
01/02/2019;2019;2;1;Friday;National Freedom Day;Observance; 
01/02/2019;2019;2;1;Friday;National Wear Red Day;Observance; 
01/02/2019;2019;2;1;Friday;First Day of Black History Month;Annual monthly observance; 
02/02/2019;2019;2;2;Saturday;Groundhog Day;Observance; 
03/02/2019;2019;2;3;Sunday;Super Bowl;Sporting event; 
04/02/2019;2019;2;4;Monday;Rosa Parks Day;Local observance;California, Missouri
05/02/2019;2019;2;5;Tuesday;Chinese New Year;Observance; 
12/02/2019;2019;2;12;Tuesday;Lincoln's Birthday;State holiday;CT, IL, MO, NY
12/02/2019;2019;2;12;Tuesday;Lincoln's Birthday;Local observance;Florida
14/02/2019;2019;2;14;Thursday;Valentine's Day;Observance; 
14/02/2019;2019;2;14;Thursday;Statehood Day;Local observance;Arizona
15/02/2019;2019;2;15;Friday;Susan B. Anthony's Birthday;Local observance;CA, FL, NY, WI
16/02/2019;2019;2;16;Saturday;Elizabeth Peratrovich Day;Local observance;Alaska
18/02/2019;2019;2;18;Monday;Presidents' Day;Federal Holiday;All except DE, GA, IA, IN, KS, KY, LA, NC, NM, RI, WI
18/02/2019;2019;2;18;Monday;Daisy Gatson Bates Day;State holiday;Arkansas
28/02/2019;2019;2;28;Thursday;Linus Pauling Day;Local observance;Oregon
01/03/2019;2019;3;1;Friday;St. David's Day;Observance, Christian; 
01/03/2019;2019;3;1;Friday;Read Across America Day;Observance; 
01/03/2019;2019;3;1;Friday;Employee Appreciation Day;Observance; 
01/03/2019;2019;3;1;Friday;First Day of Women's History Month;Annual monthly observance; 
02/03/2019;2019;3;2;Saturday;Texas Independence Day;State holiday;Texas
04/03/2019;2019;3;4;Monday;Maha Shivaratri;Hindu Holiday; 
04/03/2019;2019;3;4;Monday;Casimir Pulaski Day;Local observance;Illinois*
05/03/2019;2019;3;5;Tuesday;Shrove Tuesday/Mardi Gras;State holiday;AL**, FL*, LA, MS*
05/03/2019;2019;3;5;Tuesday;Shrove Tuesday/Mardi Gras;Observance, Christian; 
05/03/2019;2019;3;5;Tuesday;Town Meeting Day;State holiday;Vermont
06/03/2019;2019;3;6;Wednesday;Ash Wednesday;Christian; 
10/03/2019;2019;3;10;Sunday;Daylight Saving Time starts;Clock change/Daylight Saving Time; 
17/03/2019;2019;3;17;Sunday;St. Patrick's Day;Observance, Christian; 
17/03/2019;2019;3;17;Sunday;Evacuation Day;State holiday;Massachusetts**
18/03/2019;2019;3;18;Monday;Evacuation Day observed;State holiday;Massachusetts**
20/03/2019;2019;3;20;Wednesday;March Equinox;Season; 
21/03/2019;2019;3;21;Thursday;Holi;Hindu Holiday; 
21/03/2019;2019;3;21;Thursday;Purim;Jewish holiday; 
25/03/2019;2019;3;25;Monday;Maryland Day;Local observance;Maryland
25/03/2019;2019;3;25;Monday;Seward's Day;State holiday;Alaska
26/03/2019;2019;3;26;Tuesday;Prince Jonah Kuhio Kalanianaole Day;State holiday;Hawaii
29/03/2019;2019;3;29;Friday;National Vietnam War Veterans Day;Observance; 
31/03/2019;2019;3;31;Sunday;César Chávez Day;State holiday;AZ**, CA**, CO***, MI**, NM**, NV**, TX***, UT**, WA**, WI**
01/04/2019;2019;4;1;Monday;César Chávez Day observed;State holiday;California**
02/04/2019;2019;4;2;Tuesday;Pascua Florida Day;Local observance;Florida
03/04/2019;2019;4;3;Wednesday;Isra and Mi'raj;Muslim; 
06/04/2019;2019;4;6;Saturday;National Tartan Day;Observance; 
09/04/2019;2019;4;9;Tuesday;National Library Workers' Day;Observance; 
13/04/2019;2019;4;13;Saturday;Thomas Jefferson's Birthday;Observance; 
14/04/2019;2019;4;14;Sunday;Palm Sunday;Christian; 
15/04/2019;2019;4;15;Monday;Tax Day;Observance; 
15/04/2019;2019;4;15;Monday;Father Damien Day;Local observance;Hawaii
15/04/2019;2019;4;15;Monday;Patriot's Day;State holiday;Maine, Massachusetts
15/04/2019;2019;4;15;Monday;Boston Marathon;Sporting event; 
16/04/2019;2019;4;16;Tuesday;Emancipation Day;State holiday;DC
18/04/2019;2019;4;18;Thursday;Maundy Thursday;Christian; 
19/04/2019;2019;4;19;Friday;Good Friday;State holiday;CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***
20/04/2019;2019;4;20;Saturday;Holy Saturday;Christian; 
20/04/2019;2019;4;20;Saturday;Passover (first day);Jewish holiday; 
21/04/2019;2019;4;21;Sunday;Easter Sunday;Observance, Christian; 
21/04/2019;2019;4;21;Sunday;San Jacinto Day;State holiday;Texas
22/04/2019;2019;4;22;Monday;Easter Monday;Observance, Christian; 
22/04/2019;2019;4;22;Monday;Oklahoma Day;Local observance;Oklahoma
22/04/2019;2019;4;22;Monday;Confederate Memorial Day;State holiday;Alabama
22/04/2019;2019;4;22;Monday;State Holiday;State holiday;Georgia
24/04/2019;2019;4;24;Wednesday;Administrative Professionals Day;Observance; 
25/04/2019;2019;4;25;Thursday;Take our Daughters and Sons to Work Day;Observance; 
26/04/2019;2019;4;26;Friday;Orthodox Good Friday;Orthodox; 
26/04/2019;2019;4;26;Friday;Arbor Day;State holiday;Nebraska
26/04/2019;2019;4;26;Friday;Confederate Heroes' Day;Local observance;Florida
27/04/2019;2019;4;27;Saturday;Last Day of Passover;Jewish holiday; 
27/04/2019;2019;4;27;Saturday;Orthodox Holy Saturday;Orthodox; 
28/04/2019;2019;4;28;Sunday;Orthodox Easter;Orthodox; 
29/04/2019;2019;4;29;Monday;Orthodox Easter Monday;Orthodox; 
29/04/2019;2019;4;29;Monday;Confederate Memorial Day;State holiday;Mississippi
01/05/2019;2019;5;1;Wednesday;Yom HaShoah;Jewish commemoration; 
01/05/2019;2019;5;1;Wednesday;Law Day;Observance; 
01/05/2019;2019;5;1;Wednesday;Loyalty Day;Observance; 
01/05/2019;2019;5;1;Wednesday;Lei Day;Local observance;Hawaii
02/05/2019;2019;5;2;Thursday;National Day of Prayer;Observance; 
