id,r2score,duration (min),colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample
PNNgv,0.9560,1.50,0.4,0.3,0.07,3,6,1000,0.75,1.00E-05,0.6
QuU5b,0.9559,1.50,0.4,0.03,0.1,3,10,1000,0.75,1.00E-05,0.6
XBHNF,0.9559,1.46,0.4,0.03,0.07,3,1.5,1000,0.01,1.00E-05,0.95
eGdo8,0.9559,1.51,0.4,0.03,0.1,3,10,1000,0.01,1.00E-05,0.6
NuDiH,0.9558,1.45,0.4,0.3,0.07,3,6,1000,0.01,0.45,0.95
HNzV4,0.9558,1.55,0.8,0.03,0.07,3,10,1000,0.01,0.45,0.6
wmbSp,0.9558,1.89,0.8,0.3,0.1,5,6,1000,1.00E-05,1.00E-05,0.95
jrQqU,0.9558,1.53,0.4,0.1,0.07,3,10,1000,1.00E-05,0.01,0.6
fpmX1,0.9558,1.79,0.4,0.3,0.07,5,10,1000,0.75,0.45,0.6
DtdIO,0.9558,1.48,0.6,0.1,0.1,3,10,1000,0.01,0.01,0.95
AqLfd,0.9557,1.47,0.8,0.03,0.1,3,1.5,1000,1.00E-05,0.01,0.95
o0ENT,0.9557,1.79,0.4,0.1,0.07,5,6,1000,0.75,0.45,0.6
qozFn,0.9557,1.39,0.4,0.3,0.07,3,6,1000,0.01,0.01,0.95
bmyjc,0.9556,1.52,0.6,0.03,0.1,3,1.5,1000,1.00E-05,0.45,0.6
wcIj1,0.9556,1.43,0.4,0,0.07,3,6,1000,0.75,0.45,0.95
Ef3Xq,0.9556,1.70,0.8,0,0.1,3,1.5,1000,0.01,0.01,0.6
a4DwN,0.9555,1.84,0.6,0.03,0.1,5,10,1000,0.75,1.00E-05,0.6
Y7vpl,0.9555,1.53,0.8,0.03,0.1,3,1.5,1000,0.75,1.00E-05,0.6
iEbt3,0.9555,1.55,0.8,0.3,0.1,3,1.5,1000,0.75,1.00E-05,0.6
xAazD,0.9555,1.52,0.8,0,0.07,3,10,1000,0.75,0.45,0.6
LR178,0.9555,1.91,0.8,0.03,0.1,5,1.5,1000,0.01,0.01,0.6
S5P66,0.9555,1.84,0.8,0.03,0.1,5,10,1000,1.00E-05,0.45,0.95
u9OQ7,0.9554,1.73,0.6,0,0.1,5,10,1000,0.01,0.01,0.95
EIQ7e,0.9554,1.46,0.4,0.03,0.1,3,10,1000,0.75,0.01,0.95
fIit7,0.9554,1.53,0.4,0.03,0.07,3,10,1000,1.00E-05,0.45,0.6
DFqt0,0.9553,1.53,0.6,0,0.07,3,1.5,1000,0.01,0.01,0.6
UR1eW,0.9553,1.49,0.8,0.3,0.1,3,6,1000,0.75,1.00E-05,0.95
Z5yuX,0.9553,1.53,0.8,0,0.1,3,6,1000,0.75,1.00E-05,0.95
LIQlb,0.9553,1.51,0.8,0.1,0.1,3,6,1000,0.75,1.00E-05,0.95
eGVLj,0.9553,1.71,0.6,0.3,0.1,5,6,1000,0.75,0.01,0.95
wsOCv,0.9553,1.77,0.8,0.1,0.1,5,6,1000,0.75,0.45,0.95
cfmhx,0.9553,1.72,0.6,0.1,0.1,5,6,1000,1.00E-05,0.01,0.95
TfxDv,0.9553,1.73,0.6,0,0.1,5,6,1000,0.01,0.01,0.95
P66Uo,0.9553,1.87,0.4,0.3,0.1,5,10,1000,1.00E-05,1.00E-05,0.6
OQfGF,0.9553,1.80,0.4,0.3,0.1,5,10,1000,0.01,1.00E-05,0.6
YiNn1,0.9553,1.42,0.4,0.3,0.07,3,1.5,1000,0.75,0.45,0.95
W2R3z,0.9553,1.52,0.4,0.1,0.1,3,1.5,1000,0.01,0.01,0.6
GlII1,0.9551,1.58,0.8,0.03,0.1,3,10,1000,0.75,0.45,0.6
VVxDb,0.9551,1.74,0.6,0.03,0.1,5,1.5,1000,0.75,0.01,0.95
z8Ctj,0.9551,1.73,0.6,0.3,0.1,5,1.5,1000,0.75,0.01,0.95
p8aHk,0.9551,1.56,0.8,0.3,0.1,3,10,1000,0.01,1.00E-05,0.95
tn2WA,0.9550,1.72,0.6,0.1,0.1,5,10,1000,0.01,0.45,0.95
WX95M,0.9550,1.57,0.8,0.03,0.1,3,10,1000,0.75,1.00E-05,0.95
ha2Cv,0.9549,1.74,0.6,0.1,0.1,5,1.5,1000,1.00E-05,0.01,0.95
CgohZ,0.9549,1.74,0.6,0.03,0.1,5,1.5,1000,1.00E-05,0.01,0.95
BP9TN,0.9549,1.69,0.4,0.3,0.07,5,1.5,1000,0.75,0.01,0.95
xhXYZ,0.9549,1.82,0.6,0.03,0.1,5,1.5,1000,0.75,0.45,0.6
bmVyD,0.9549,1.85,0.8,0.3,0.07,5,10,1000,1.00E-05,0.45,0.95
xZVwo,0.9548,1.71,0.4,0,0.07,5,1.5,1000,1.00E-05,0.01,0.95
ItSOR,0.9547,1.78,0.4,0.1,0.1,5,6,1000,0.01,0.45,0.6
dhGYx,0.9546,1.69,0.4,0.1,0.07,5,10,1000,1.00E-05,0.45,0.95
IoSef,0.9545,1.68,0.4,0.03,0.07,5,6,1000,0.75,1.00E-05,0.95
vMmH1,0.9545,1.80,0.6,0,0.1,5,1.5,1000,1.00E-05,1.00E-05,0.95
HoUyj,0.9544,1.79,0.4,0.1,0.07,5,6,1000,1.00E-05,0.01,0.6
HLdap,0.9544,1.53,0.8,0.1,0.1,3,10,1000,0.75,1.00E-05,0.6
nB7hI,0.9543,1.97,0.4,0.3,0.07,5,6,1000,0.01,1.00E-05,0.6
Sq9R6,0.9542,1.70,0.4,0.3,0.1,5,1.5,1000,1.00E-05,0.01,0.95
zZ2bJ,0.9542,1.72,0.4,0.03,0.1,5,6,1000,0.01,1.00E-05,0.95
mFJ4I,0.9542,1.70,0.4,0,0.07,5,1.5,1000,0.01,1.00E-05,0.95
lnoUn,0.9541,1.79,0.4,0.03,0.1,5,6,1000,1.00E-05,0.01,0.6
