Date;Year;Month;Day;Weekday;Holiday_name;Type;Details
2019-01-01;2019;1;1;Tuesday;New Year's Day;Federal Holiday; 
2019-01-06;2019;1;6;Sunday;Epiphany;Christian; 
2019-01-07;2019;1;7;Monday;Orthodox Christmas Day;Orthodox; 
2019-01-13;2019;1;13;Sunday;Stephen Foster Memorial Day;Observance; 
2019-01-14;2019;1;14;Monday;Orthodox New Year;Orthodox; 
2019-01-18;2019;1;18;Friday;Lee-Jackson Day;State holiday;Virginia
2019-01-19;2019;1;19;Saturday;Robert E. Lee's Birthday;State holiday;Florida
2019-01-19;2019;1;19;Saturday;Confederate Heroes' Day;State holiday;Texas
2019-01-21;2019;1;21;Monday;Tu Bishvat/Tu B'Shevat;Jewish holiday; 
2019-01-21;2019;1;21;Monday;Martin Luther King Jr. Day;Federal Holiday; 
2019-01-21;2019;1;21;Monday;Robert E. Lee's Birthday;State holiday;Alabama, Mississippi
2019-01-21;2019;1;21;Monday;Idaho Human Rights Day;State holiday;Idaho
2019-01-21;2019;1;21;Monday;Civil Rights Day;State holiday;Arizona, New Hampshire
2019-01-29;2019;1;29;Tuesday;Kansas Day;Observance; 
2019-02-01;2019;2;1;Friday;National Freedom Day;Observance; 
2019-02-01;2019;2;1;Friday;National Wear Red Day;Observance; 
2019-02-01;2019;2;1;Friday;First Day of Black History Month;Annual monthly observance; 
2019-02-02;2019;2;2;Saturday;Groundhog Day;Observance; 
2019-02-03;2019;2;3;Sunday;Super Bowl;Sporting event; 
2019-02-04;2019;2;4;Monday;Rosa Parks Day;Local observance;California, Missouri
2019-02-05;2019;2;5;Tuesday;Chinese New Year;Observance; 
2019-02-12;2019;2;12;Tuesday;Lincoln's Birthday;State holiday;CT, IL, MO, NY
2019-02-12;2019;2;12;Tuesday;Lincoln's Birthday;Local observance;Florida
2019-02-14;2019;2;14;Thursday;Valentine's Day;Observance; 
2019-02-14;2019;2;14;Thursday;Statehood Day;Local observance;Arizona
2019-02-15;2019;2;15;Friday;Susan B. Anthony's Birthday;Local observance;CA, FL, NY, WI
2019-02-16;2019;2;16;Saturday;Elizabeth Peratrovich Day;Local observance;Alaska
2019-02-18;2019;2;18;Monday;Presidents' Day;Federal Holiday;All except DE, GA, IA, IN, KS, KY, LA, NC, NM, RI, WI
2019-02-18;2019;2;18;Monday;Daisy Gatson Bates Day;State holiday;Arkansas
2019-02-28;2019;2;28;Thursday;Linus Pauling Day;Local observance;Oregon
2019-03-01;2019;3;1;Friday;St. David's Day;Observance, Christian; 
2019-03-01;2019;3;1;Friday;Read Across America Day;Observance; 
2019-03-01;2019;3;1;Friday;Employee Appreciation Day;Observance; 
2019-03-01;2019;3;1;Friday;First Day of Women's History Month;Annual monthly observance; 
2019-03-02;2019;3;2;Saturday;Texas Independence Day;State holiday;Texas
2019-03-04;2019;3;4;Monday;Maha Shivaratri;Hindu Holiday; 
2019-03-04;2019;3;4;Monday;Casimir Pulaski Day;Local observance;Illinois*
2019-03-05;2019;3;5;Tuesday;Shrove Tuesday/Mardi Gras;State holiday;AL**, FL*, LA, MS*
2019-03-05;2019;3;5;Tuesday;Shrove Tuesday/Mardi Gras;Observance, Christian; 
