Date;Year;Month;Day;Weekday;Holiday_name;Type;Details
2011-01-01;2011;1;1;Saturday;New Year's Day;Federal Holiday; 
2011-01-06;2011;1;6;Thursday;Epiphany;Christian; 
2011-01-07;2011;1;7;Friday;Orthodox Christmas Day;Orthodox; 
2011-01-13;2011;1;13;Thursday;Stephen Foster Memorial Day;Observance; 
2011-01-14;2011;1;14;Friday;Orthodox New Year;Orthodox; 
2011-01-14;2011;1;14;Friday;Lee-Jackson Day;State holiday;Virginia
2011-01-17;2011;1;17;Monday;Martin Luther King Jr. Day;Federal Holiday; 
2011-01-17;2011;1;17;Monday;Robert E. Lee's Birthday;State holiday;Alabama, Georgia
2011-01-17;2011;1;17;Monday;Robert E. Lee's Birthday;State holiday;Arkansas, Mississippi
2011-01-17;2011;1;17;Monday;Idaho Human Rights Day;State holiday;Idaho
2011-01-17;2011;1;17;Monday;Civil Rights Day;State holiday;Arizona, New Hampshire
2011-01-19;2011;1;19;Wednesday;Robert E. Lee's Birthday;State holiday;Florida
2011-01-19;2011;1;19;Wednesday;Confederate Heroes' Day;State holiday;Texas
2011-01-20;2011;1;20;Thursday;Tu Bishvat/Tu B'Shevat;Jewish holiday; 
2011-01-29;2011;1;29;Saturday;Kansas Day;Observance; 
2011-02-01;2011;2;1;Tuesday;National Freedom Day;Observance; 
2011-02-01;2011;2;1;Tuesday;First Day of Black History Month;Annual monthly observance; 
2011-02-02;2011;2;2;Wednesday;Groundhog Day;Observance; 
2011-02-03;2011;2;3;Thursday;Chinese New Year;Observance; 
2011-02-04;2011;2;4;Friday;Rosa Parks Day;Local observance;California
2011-02-04;2011;2;4;Friday;National Wear Red Day;Observance; 
2011-02-06;2011;2;6;Sunday;Super Bowl;Sporting event; 
2011-02-11;2011;2;11;Friday;Lincoln's Birthday observed;State holiday;CT, IL, MO, NJ, NY
2011-02-12;2011;2;12;Saturday;Lincoln's Birthday;State holiday;CT, IL, MO, NJ, NY
2011-02-14;2011;2;14;Monday;Valentine's Day;Observance; 
2011-02-14;2011;2;14;Monday;Statehood Day;Local observance;Arizona
2011-02-15;2011;2;15;Tuesday;Susan B. Anthony's Birthday;Local observance;FL, NY, WI
2011-02-16;2011;2;16;Wednesday;The Prophet's Birthday;Muslim; 
2011-02-16;2011;2;16;Wednesday;Elizabeth Peratrovich Day;Local observance;Alaska
