reward,id,parameter
0.9563399682939998,KRQKp,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.07, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 1000, 'reg_alpha': 1e-05, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.9556871272536356,Pf0zk,"{'colsample_bytree': 0.6, 'gamma': 0, 'learning_rate': 0.07, 'max_depth': 7, 'min_child_weight': 1.5, 'n_estimators': 1000, 'reg_alpha': 1e-05, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.9526770056251159,Kr1gL,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1.5, 'n_estimators': 2000, 'reg_alpha': 1e-05, 'reg_lambda': 0.45, 'subsample': 0.95}"
0.9557733101819821,Mpind,"{'colsample_bytree': 0.4, 'gamma': 0.03, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 1000, 'reg_alpha': 1e-05, 'reg_lambda': 0.01, 'subsample': 0.6}"
0.9517649275160917,r4rIR,"{'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 1.5, 'n_estimators': 1000, 'reg_alpha': 1e-05, 'reg_lambda': 0.01, 'subsample': 0.95}"
0.9568402107330538,JFnax,"{'colsample_bytree': 0.8, 'gamma': 0.3, 'learning_rate': 0.07, 'max_depth': 7, 'min_child_weight': 1.5, 'n_estimators': 1000, 'reg_alpha': 0.01, 'reg_lambda': 0.45, 'subsample': 0.95}"
0.9564411943657888,pdiuQ,"{'colsample_bytree': 0.4, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 0.01, 'reg_lambda': 0.45, 'subsample': 0.95}"
0.9570337999476619,bngsI,"{'colsample_bytree': 0.8, 'gamma': 0.03, 'learning_rate': 0.03, 'max_depth': 7, 'min_child_weight': 10, 'n_estimators': 2000, 'reg_alpha': 0.75, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.9559635524544202,ET65e,"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.03, 'max_depth': 7, 'min_child_weight': 10, 'n_estimators': 2000, 'reg_alpha': 0.01, 'reg_lambda': 1e-05, 'subsample': 0.6}"
0.9526876523872689,ZhQ0K,"{'colsample_bytree': 0.4, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 10, 'n_estimators': 1000, 'reg_alpha': 0.01, 'reg_lambda': 1e-05, 'subsample': 0.95}"
0.9549721006910715,l8Yqy,"{'colsample_bytree': 0.8, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 1000, 'reg_alpha': 0.75, 'reg_lambda': 1e-05, 'subsample': 0.6}"
0.9547427279123639,cahhF,"{'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 1000, 'reg_alpha': 1e-05, 'reg_lambda': 1e-05, 'subsample': 0.95}"
0.9549721006910715,A44pg,"{'colsample_bytree': 0.8, 'gamma': 0.03, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 1000, 'reg_alpha': 0.75, 'reg_lambda': 1e-05, 'subsample': 0.6}"
0.9570125324779373,ZhDML,"{'colsample_bytree': 0.8, 'gamma': 0.3, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 6, 'n_estimators': 1000, 'reg_alpha': 0.75, 'reg_lambda': 0.01, 'subsample': 0.95}"
0.9527521380895433,kZKaJ,"{'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 1.5, 'n_estimators': 1000, 'reg_alpha': 1e-05, 'reg_lambda': 0.01, 'subsample': 0.6}"
0.9546936775256546,NeKv8,"{'colsample_bytree': 0.4, 'gamma': 0.1, 'learning_rate': 0.03, 'max_depth': 7, 'min_child_weight': 1.5, 'n_estimators': 1000, 'reg_alpha': 0.75, 'reg_lambda': 0.01, 'subsample': 0.6}"
0.9567119910546127,hG2Ef,"{'colsample_bytree': 0.4, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 1e-05, 'reg_lambda': 0.01, 'subsample': 0.6}"
0.955774445265901,sPytc,"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.03, 'max_depth': 7, 'min_child_weight': 1.5, 'n_estimators': 1000, 'reg_alpha': 1e-05, 'reg_lambda': 1e-05, 'subsample': 0.95}"
0.9558185586166011,rT4B9,"{'colsample_bytree': 0.8, 'gamma': 0.3, 'learning_rate': 0.07, 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 0.75, 'reg_lambda': 1e-05, 'subsample': 0.95}"
0.9546906562415323,Rg94i,"{'colsample_bytree': 0.6, 'gamma': 0.03, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 2000, 'reg_alpha': 0.75, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.9565418485169062,VBN7B,"{'colsample_bytree': 0.4, 'gamma': 0.3, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 2000, 'reg_alpha': 0.75, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.9580997234026345,HHqF2,"{'colsample_bytree': 0.6, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 1000, 'reg_alpha': 1e-05, 'reg_lambda': 1e-05, 'subsample': 0.6}"
0.9576085383690364,WxVY6,"{'colsample_bytree': 0.6, 'gamma': 0.03, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 1e-05, 'reg_lambda': 1e-05, 'subsample': 0.6}"
