id,r2score,duration (min),optimizer,neurons_width,hidden_layers,activation,batch_normalization,batch_size,epochs
Hnj0m,0.869427876,4.33,Adam,128,4,LeakyReLU_0.05,none,20,60
HY31M,0.869283135,2.15,Adam,16,32,LeakyReLU_0.01,none,30,20
YRNqo,0.86915443,4.28,Adam,16,32,LeakyReLU_0.05,none,10,20
InDDE,0.868934285,1.66,Adam,32,16,LeakyReLU_0.05,none,30,20
KT65d,0.868697712,8.47,Adam,32,16,LeakyReLU_0.05,none,10,60
VRs0O,0.86862715,4.83,Adam,64,4,relu,BatchNorm,30,60
yX1Uw,0.868525737,2.30,Adam,64,2,relu,none,10,20
d1E9G,0.868115917,2.68,Adam,128,16,LeakyReLU_0.01,none,30,20
TGW8c,0.868045084,7.04,Adam,128,4,relu,none,10,60
tEvez,0.867553924,3.16,Adam,16,4,LeakyReLU_0.1,none,20,60
lordv,0.867217519,2.74,Adam,32,32,LeakyReLU_0.01,none,20,20
Lpelu,0.866998827,1.67,Adam,64,2,relu,BatchNorm,30,20
l7MSr,0.866638025,11.75,Adam,16,32,LeakyReLU_0.1,none,10,60
QYzlu,0.866439863,5.87,Adam,128,2,relu,none,10,60
sac0K,0.866419948,1.53,Adam,32,8,LeakyReLU_0.05,none,30,20
RnYgd,0.866326058,3.40,Adam,128,2,LeakyReLU_0.1,none,20,60
yiTdK,0.866112403,2.65,Adam,64,32,LeakyReLU_0.05,none,30,20
zdZFv,0.866065981,4.67,Adam,32,32,LeakyReLU_0.05,none,10,20
HmLDt,0.8659971,1.89,Adam,128,2,LeakyReLU_0.1,BatchNorm,30,20
H8M6j,0.86575198,4.97,Adam,16,2,LeakyReLU_0.05,BatchNorm,20,60
opDGx,0.865137644,4.63,Adam,64,4,LeakyReLU_0.1,BatchNorm,30,60
b6J4C,0.864608841,4.57,Adam,32,16,LeakyReLU_0.1,none,20,60
FQxg0,0.864384827,11.53,Adam,16,32,LeakyReLU_0.01,none,20,60
aCiui,0.863993279,5.60,Adam,64,32,LeakyReLU_0.01,none,10,20
lXKzk,0.863770968,3.83,Adam,16,8,LeakyReLU_0.1,none,20,60
kwdk6,0.86375337,2.96,Adam,64,8,LeakyReLU_0.05,none,10,20
ka2IF,0.863429579,3.41,Adam,128,16,LeakyReLU_0.1,none,20,20
gSKfV,0.863288791,1.60,Adam,32,2,LeakyReLU_0.05,BatchNorm,30,20
huaQt,0.863007655,2.64,Adam,16,32,relu,none,20,20
z7b3F,0.862743689,2.75,Adam,16,8,LeakyReLU_0.1,none,10,20
UN9ED,0.862714327,2.83,Adam,128,16,LeakyReLU_0.05,none,30,20
AeTjM,0.862510831,1.73,Adam,32,16,relu,none,30,20
CsWB2,0.861076144,2.01,Adam,32,2,relu,BatchNorm,20,20
IUaIL,0.860749858,2.33,Adam,128,4,LeakyReLU_0.1,BatchNorm,30,20
PVL3A,0.860695561,1.62,Adam,64,4,relu,none,20,20
R38Zl,0.860472563,2.53,Adam,64,32,LeakyReLU_0.01,none,30,20
OTcn1,0.859996806,3.32,Adam,64,32,relu,none,20,20
y4Ril,0.859772314,3.40,Adam,128,16,LeakyReLU_0.05,none,20,20
NydTA,0.859699575,3.29,Adam,16,2,LeakyReLU_0.1,BatchNorm,30,60
Fxh2J,0.859652688,3.03,Adam,128,4,LeakyReLU_0.05,none,10,20
CRYGn,0.859495498,2.08,Adam,16,2,LeakyReLU_0.05,BatchNorm,20,20
js9vJ,0.858864646,2.51,Adam,32,4,LeakyReLU_0.05,none,10,20
dQwUm,0.858669902,5.40,Adam,128,16,LeakyReLU_0.05,none,10,20
v6yc7,0.858002243,4.00,Adam,32,8,LeakyReLU_0.01,none,20,60
Rhpzs,0.857556605,4.08,Adam,128,2,LeakyReLU_0.01,BatchNorm,30,60
H5tQm,0.857532249,4.77,Adam,64,2,relu,BatchNorm,20,60
ghUKf,0.857403007,4.09,Adam,32,4,LeakyReLU_0.01,BatchNorm,30,60
BTC9d,0.857376955,4.30,Adam,128,4,LeakyReLU_0.01,none,20,60
lRGrh,0.857044054,3.29,Adam,64,2,LeakyReLU_0.05,none,20,60
SKW17,0.856434766,2.34,Adam,32,4,relu,none,10,20
DnLO4,0.856351594,1.84,Adam,128,2,LeakyReLU_0.01,BatchNorm,30,20
tHGMC,0.855696311,2.45,Adam,128,2,relu,none,10,20
ltnlF,0.855662085,2.69,Adam,32,32,LeakyReLU_0.05,none,20,20
gPodj,0.855515593,2.35,Adam,128,4,relu,BatchNorm,30,20
zakry,0.855199144,2.71,Adam,32,8,relu,none,10,20
mjeAu,0.854871982,3.62,Adam,64,2,LeakyReLU_0.01,BatchNorm,30,60
lnyjn,0.854792811,4.29,Adam,16,4,relu,BatchNorm,30,60
cd8UK,0.854211197,2.70,Adam,128,16,LeakyReLU_0.1,none,30,20
OlfOB,0.854198406,1.47,Adam,128,2,relu,none,30,20
G7ysX,0.85417331,9.01,Adam,128,32,LeakyReLU_0.05,none,10,20
JkFJi,0.854155469,1.70,Adam,16,8,LeakyReLU_0.05,none,20,20
q0PIb,0.853570415,6.42,Adam,16,8,LeakyReLU_0.05,none,10,60
CDkC1,0.853116524,3.30,Adam,32,4,LeakyReLU_0.05,none,20,60
M7v6I,0.852139953,5.62,Adam,128,16,LeakyReLU_0.1,none,10,20
W4ri0,0.852139864,1.87,Adam,16,4,relu,BatchNorm,30,20
wpbeK,0.852063376,2.91,Adam,64,8,relu,none,10,20
De45o,0.852015799,1.72,Adam,64,2,LeakyReLU_0.1,BatchNorm,30,20
gy8XC,0.851753115,3.36,Adam,16,16,LeakyReLU_0.05,none,10,20
pe69H,0.851246231,1.63,Adam,64,2,relu,BatchNorm,30,20
cP5Pv,0.851208776,3.23,Adam,16,2,LeakyReLU_0.1,BatchNorm,30,60
tpkom,0.849823065,2.58,Adam,64,4,LeakyReLU_0.01,BatchNorm,20,20
EEW8O,0.849446827,1.52,Adam,32,2,relu,none,20,20
fGDsd,0.84875306,2.66,Adam,128,16,LeakyReLU_0.05,none,30,20
LbOU8,0.848539878,2.08,Adam,64,2,LeakyReLU_0.01,BatchNorm,20,20
cY4vw,0.848323103,4.47,Adam,16,32,LeakyReLU_0.05,none,10,20
w2APH,0.848163758,5.73,Adam,128,16,LeakyReLU_0.1,none,10,20
y4bcJ,0.848131137,4.25,Adam,32,4,LeakyReLU_0.05,BatchNorm,30,60
qXEuL,0.848104732,2.72,Adam,64,8,LeakyReLU_0.01,BatchNorm,30,20
SnBYp,0.847952754,2.78,Adam,64,8,LeakyReLU_0.01,BatchNorm,30,20
maObj,0.847923784,1.76,Adam,128,2,LeakyReLU_0.01,none,20,20
VM3xM,0.847413706,3.67,Adam,128,16,LeakyReLU_0.05,none,20,20
UYo2L,0.846857479,6.17,Adam,16,4,LeakyReLU_0.05,BatchNorm,20,60
kvlZN,0.846828502,6.30,Adam,64,4,LeakyReLU_0.05,BatchNorm,20,60
Huic2,0.846171552,2.35,Adam,128,4,relu,BatchNorm,30,20
zYFBs,0.846170919,3.60,Adam,64,2,LeakyReLU_0.01,BatchNorm,30,60
Lz70N,0.845739038,2.39,Adam,64,16,LeakyReLU_0.05,none,20,20
zdQEk,0.844670449,5.22,Adam,64,2,LeakyReLU_0.1,BatchNorm,20,60
JAkkv,0.843516519,1.61,Adam,64,4,relu,none,20,20
RR3Jk,0.843281604,3.20,Adam,16,16,relu,none,10,20
I72RM,0.84269604,1.62,Adam,32,16,LeakyReLU_0.1,none,30,20
wg6u9,0.842644602,2.48,Adam,128,2,LeakyReLU_0.05,none,10,20
ik9i1,0.842230326,3.28,Adam,32,16,LeakyReLU_0.05,none,10,20
XNuHc,0.84182087,2.40,Adam,32,4,relu,BatchNorm,20,20
zb3Rw,0.841568625,6.31,Adam,64,4,LeakyReLU_0.01,BatchNorm,20,60
ioDuK,0.841535608,8.19,Adam,16,16,LeakyReLU_0.1,none,10,60
YDvA3,0.841355938,5.59,Adam,128,4,LeakyReLU_0.1,BatchNorm,30,60
TnxsJ,0.84113822,6.04,Adam,64,32,LeakyReLU_0.1,none,30,60
nILTl,0.840343216,2.92,Adam,128,4,LeakyReLU_0.01,none,10,20
LCunn,0.840228439,2.71,Adam,64,8,LeakyReLU_0.01,BatchNorm,30,20
vwjSk,0.839402772,2.02,Adam,64,4,LeakyReLU_0.05,BatchNorm,30,20
VSNnX,0.839237669,3.49,Adam,128,2,LeakyReLU_0.01,none,20,60
QbRUt,0.838999375,3.47,Adam,64,4,LeakyReLU_0.1,none,20,60
xuVb8,0.838276059,2.55,Adam,16,4,LeakyReLU_0.1,BatchNorm,20,20
geEav,0.838200029,5.74,Adam,64,32,LeakyReLU_0.1,none,10,20
RHxVJ,0.838181361,1.62,Adam,32,16,LeakyReLU_0.05,none,30,20
idpus,0.838102002,15.50,Adam,64,32,LeakyReLU_0.05,none,10,60
CHdFu,0.837938744,1.63,Adam,128,2,relu,none,20,20
JYDnt,0.837437547,4.76,Adam,16,2,LeakyReLU_0.01,BatchNorm,20,60
I7x2o,0.837211451,9.33,Adam,16,2,LeakyReLU_0.1,BatchNorm,10,60
OdAaH,0.837183203,2.40,Adam,32,4,LeakyReLU_0.05,none,10,20
acg2G,0.83714475,5.71,Adam,32,4,LeakyReLU_0.05,BatchNorm,20,60
kTkM6,0.836725361,3.17,Adam,64,2,LeakyReLU_0.1,none,20,60
JQsTy,0.836723778,1.60,Adam,32,2,LeakyReLU_0.01,BatchNorm,30,20
ukGPF,0.836587593,3.61,Adam,128,2,LeakyReLU_0.01,BatchNorm,10,20
Gxjzn,0.835762517,8.64,Adam,32,2,LeakyReLU_0.1,BatchNorm,10,60
QQ09F,0.835608834,5.70,Adam,32,4,LeakyReLU_0.05,none,10,60
GQa5h,0.834986967,2.72,Adam,64,8,LeakyReLU_0.01,BatchNorm,30,20
GD6Xt,0.834801911,2.37,Adam,128,8,LeakyReLU_0.1,none,20,20
U9eni,0.834661861,5.69,Adam,128,8,relu,none,20,60
Wpza9,0.834654109,9.70,Adam,128,8,LeakyReLU_0.05,none,10,60
jvju4,0.834571354,2.63,Adam,64,4,LeakyReLU_0.01,BatchNorm,20,20
IkO17,0.834314753,6.36,Adam,16,8,LeakyReLU_0.05,none,10,60
IX0gj,0.834103305,2.52,Adam,128,2,LeakyReLU_0.01,none,10,20
Z654V,0.833240404,2.03,Adam,16,16,LeakyReLU_0.01,none,20,20
MZEQ2,0.833080778,8.63,Adam,32,16,relu,none,10,60
yDaRc,0.832973896,4.64,Adam,16,32,LeakyReLU_0.01,none,30,60
bGw2I,0.832879646,1.65,Adam,32,16,LeakyReLU_0.1,none,30,20
i9KkK,0.83273604,8.48,Adam,64,2,relu,BatchNorm,10,60
kv6Q9,0.83264133,4.17,Adam,32,4,LeakyReLU_0.05,BatchNorm,30,60
i5x6c,0.831454086,1.98,Adam,16,4,LeakyReLU_0.1,BatchNorm,30,20
aM3Pl,0.830809448,7.25,Adam,64,8,relu,none,10,60
EzrvK,0.830522279,14.82,Adam,64,32,LeakyReLU_0.05,none,10,60
Dopbs,0.830394169,5.71,Adam,128,8,LeakyReLU_0.05,none,20,60
fqMv2,0.830362076,1.57,Adam,64,8,LeakyReLU_0.05,none,30,20
G308R,0.830332439,2.76,Adam,64,8,relu,BatchNorm,30,20
LfKgH,0.829664888,2.69,Adam,128,16,LeakyReLU_0.05,none,30,20
yjfAy,0.82943636,1.53,Adam,128,4,LeakyReLU_0.05,none,30,20
S4HEq,0.829143182,3.33,Adam,32,2,relu,BatchNorm,10,20
AwpRg,0.828996203,2.63,Adam,32,8,LeakyReLU_0.01,BatchNorm,30,20
D4Siy,0.828702042,2.57,Adam,64,4,LeakyReLU_0.01,none,30,60
Dbg2H,0.828291405,1.87,Adam,16,4,LeakyReLU_0.1,BatchNorm,30,20
EK0gp,0.827123951,2.59,Adam,64,4,LeakyReLU_0.1,BatchNorm,20,20
Nm9Gz,0.826685643,5.65,Adam,32,4,LeakyReLU_0.01,BatchNorm,20,60
GzS4M,0.826524093,1.39,Adam,32,4,LeakyReLU_0.1,none,30,20
zOqjk,0.826345113,3.36,Adam,16,16,relu,none,10,20
UJoiU,0.826257067,14.73,Adam,128,32,LeakyReLU_0.05,none,20,60
J5S2N,0.825970418,2.61,Adam,16,8,LeakyReLU_0.05,BatchNorm,30,20
rsV5b,0.825715925,2.09,Adam,16,2,relu,BatchNorm,20,20
yKUlb,0.824893374,15.01,Adam,128,32,LeakyReLU_0.01,none,20,60
OBHnL,0.824128644,3.56,Adam,64,8,relu,BatchNorm,20,20
RyUhe,0.823146937,3.94,Adam,64,16,relu,none,30,60
jPGhl,0.821645921,8.26,Adam,64,2,LeakyReLU_0.05,BatchNorm,10,60
i6SEM,0.821638874,9.41,Adam,64,16,LeakyReLU_0.05,none,10,60
GIMHU,0.8214274,5.54,Adam,64,16,LeakyReLU_0.05,none,20,60
aoZXA,0.821380335,3.60,Adam,16,8,relu,none,20,60
Tc6Dx,0.820709085,5.42,Adam,64,32,LeakyReLU_0.01,none,10,20
J1QVv,0.820659484,5.67,Adam,32,4,LeakyReLU_0.05,BatchNorm,20,60
KtGW9,0.8204176,4.03,Adam,64,16,relu,none,30,60
mbwjo,0.820277927,3.36,Adam,64,32,LeakyReLU_0.1,none,20,20
LmxxH,0.819807391,9.41,Adam,16,8,relu,BatchNorm,20,60
DY0aY,0.818719666,1.66,Adam,64,2,LeakyReLU_0.1,BatchNorm,30,20
IBfTa,0.817848945,6.88,Adam,32,32,relu,none,20,60
qLVmA,0.817027855,2.47,Adam,32,4,LeakyReLU_0.01,none,10,20
xuDZq,0.816482677,4.04,Adam,64,16,LeakyReLU_0.05,none,30,60
nVtI5,0.815992776,3.45,Adam,16,2,relu,BatchNorm,10,20
lyE2a,0.815848778,4.25,Adam,128,8,LeakyReLU_0.05,none,30,60
GG4zI,0.815593402,2.41,Adam,16,8,LeakyReLU_0.01,BatchNorm,30,20
bIwP1,0.81551179,6.03,Adam,64,4,LeakyReLU_0.1,none,10,60
uZ6fj,0.815036924,7.30,Adam,128,4,LeakyReLU_0.05,BatchNorm,20,60
E0Mkp,0.813317083,2.65,Adam,16,4,LeakyReLU_0.1,BatchNorm,20,20
YAzL4,0.81272819,8.54,Adam,64,2,LeakyReLU_0.1,BatchNorm,10,60
QF8Xc,0.812647106,5.64,Adam,128,4,LeakyReLU_0.01,BatchNorm,30,60
mgitS,0.81232141,1.39,Adam,16,8,relu,none,30,20
EjMV9,0.811365432,6.52,Adam,128,16,LeakyReLU_0.1,none,30,60
sa9dC,0.81090732,8.42,Adam,32,16,LeakyReLU_0.01,none,10,60
NUPTC,0.809799191,2.39,Adam,128,8,relu,none,20,20
Vo1Av,0.809401367,4.02,Adam,64,16,relu,none,30,60
FHL13,0.808355906,2.32,Adam,128,8,LeakyReLU_0.1,none,20,20
lQbtQ,0.808234419,4.06,Adam,64,8,LeakyReLU_0.01,none,20,60
wLJRY,0.806961085,5.73,Adam,32,4,LeakyReLU_0.05,BatchNorm,20,60
za8IT,0.805880317,14.55,Adam,128,32,LeakyReLU_0.01,none,20,60
f2XRp,0.805524525,1.35,Adam,128,2,relu,none,30,20
pMQ1b,0.805390085,10.46,Adam,128,32,relu,none,30,60
aJnte,0.804947809,5.50,Adam,16,4,relu,none,10,60
DHwih,0.804921157,2.55,Adam,16,4,relu,BatchNorm,20,20
X4kFq,0.803593257,3.70,Adam,128,8,LeakyReLU_0.01,none,10,20
F9th3,0.80307725,9.87,Adam,128,8,LeakyReLU_0.1,none,10,60
pKUe7,0.800572764,8.66,Adam,64,2,LeakyReLU_0.1,BatchNorm,10,60
KDBng,0.799650844,2.48,Adam,32,8,LeakyReLU_0.1,BatchNorm,30,20
SmP6U,0.79681203,11.86,Adam,16,32,LeakyReLU_0.01,none,10,60
eVboW,0.796472176,9.78,Adam,128,8,LeakyReLU_0.1,none,10,60
mbiqg,0.796240108,6.78,Adam,32,32,LeakyReLU_0.05,none,20,60
C9wmC,0.795909289,2.61,Adam,16,4,LeakyReLU_0.01,BatchNorm,20,20
WO4UR,0.794737651,3.19,Adam,16,4,LeakyReLU_0.05,none,20,60
IxqYN,0.794438365,1.28,Adam,32,4,relu,none,30,20
iU33b,0.793498632,3.37,Adam,32,2,relu,BatchNorm,10,20
Qim8V,0.791842483,1.29,Adam,16,4,relu,none,30,20
RzqFv,0.789791126,4.17,Adam,64,4,relu,BatchNorm,10,20
RLlew,0.789229179,7.37,Adam,64,8,relu,none,10,60
DJ5ai,0.788212099,5.30,Adam,32,2,relu,none,10,60
J8QFm,0.787234503,12.33,Adam,32,32,LeakyReLU_0.1,none,10,60
Dqw61,0.786895551,4.43,Adam,32,4,LeakyReLU_0.01,BatchNorm,10,20
