id,r2score,duration (min),optimizer,neurons_width,hidden_layers,activation,batch_normalization,batch_size,epochs
jyqwW,0.646618877,3.60,Adam,16,16,relu,none,30,60
qHv95,0.645042752,9.82,Adam,128,32,LeakyReLU_0.01,BatchNorm,30,20
vIijF,0.636187547,1.56,Adam,64,2,LeakyReLU_0.05,none,20,20
FA9Th,0.635878716,5.27,Adam,32,16,LeakyReLU_0.1,BatchNorm,20,20
fx4nD,0.634478753,2.36,Adam,16,2,LeakyReLU_0.1,none,30,60
hc3UN,0.63249941,5.50,Adam,16,2,LeakyReLU_0.1,none,10,60
hYu4R,0.6295386,16.50,Adam,64,8,relu,BatchNorm,10,60
PnqV2,0.628134598,5.47,Adam,16,2,LeakyReLU_0.05,none,10,60
Peh8j,0.628103481,20.08,Adam,128,8,LeakyReLU_0.01,BatchNorm,10,60
mf9X4,0.62745863,5.62,Adam,128,16,LeakyReLU_0.01,none,10,20
Iy5If,0.625318273,4.90,Adam,32,16,relu,BatchNorm,20,20
BKoIx,0.625045619,5.50,Adam,16,2,LeakyReLU_0.1,none,10,60
TCPft,0.624764221,2.32,Adam,32,2,LeakyReLU_0.1,none,10,20
EbPSG,0.623782302,2.29,Adam,64,2,LeakyReLU_0.05,none,10,20
hIpTP,0.623768502,10.18,Adam,32,16,LeakyReLU_0.1,BatchNorm,30,60
MAgFx,0.623754564,3.90,Adam,32,16,relu,BatchNorm,30,20
oIDjc,0.623720037,1.29,Adam,16,4,relu,none,30,20
kYFGy,0.62047404,2.48,Adam,32,2,LeakyReLU_0.01,none,30,60
ZTbce,0.618803491,1.40,Adam,128,2,LeakyReLU_0.05,none,30,20
xsJY2,0.613374159,1.29,Adam,16,4,LeakyReLU_0.1,none,30,20
zJhoO,0.611786483,3.04,Adam,16,2,LeakyReLU_0.1,none,20,60
V4Cpx,0.608087194,6.86,Adam,32,8,LeakyReLU_0.01,BatchNorm,10,20
KZEQ9,0.608066007,2.33,Adam,32,2,LeakyReLU_0.01,none,10,20
wwmL3,0.607760145,16.17,Adam,16,16,relu,BatchNorm,20,60
mMjYg,0.607437489,19.33,Adam,128,16,LeakyReLU_0.05,BatchNorm,20,60
mZmNS,0.60288189,3.12,Adam,32,2,LeakyReLU_0.1,none,20,60
E8jGM,0.587888524,10.01,Adam,128,32,LeakyReLU_0.01,BatchNorm,30,20
Ct8xv,0.587541069,16.18,Adam,64,8,LeakyReLU_0.01,BatchNorm,10,60
r5eLz,0.587147189,6.06,Adam,64,8,relu,BatchNorm,10,20
DQW6D,0.586436062,6.56,Adam,64,8,LeakyReLU_0.1,BatchNorm,10,20
