r2train_per_fold,[0]
r2test_per_fold,[-1.092885520751759]
r2testadj_per_fold,[-1.8315509986641447]
rmse_per_fold,[10356.358773930733]
mae_per_fold,[9950.214628169115]
maep_per_fold,[15.278291957485312]
mape_per_fold,[15.496956789879402]
smape_per_fold,[14.295963245411727]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,emd
nmodes,4
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,-1.0929
std_r2test,0.0
avg_r2testadj,-1.8316
std_r2testadj,0.0
avg_rmse,10356.3588
std_rmse,0.0
avg_mae,9950.2146
std_mae,0.0
avg_maep,15.2783
std_maep,0.0
avg_mape,15.497
std_mape,0.0
avg_smape,14.296
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,12.66
