r2train_per_fold,[0.9234485409769576]
r2test_per_fold,[0.8883273989053504]
r2testadj_per_fold,[0.8841656870633138]
rmse_per_fold,[0.2817687477380241]
mae_per_fold,[0.21733017855621778]
maep_per_fold,[63.35899494525069]
mape_per_fold,[59.45913902335418]
smape_per_fold,[48.66870692950119]
test_name,loadForecast_IMF_1
name,['IMF_1']
model_name,['GradientBoostingRegressor']
decomposition,emd
nmodes,1
algorithm,gbr
avg_r2train,0.9234
std_r2train,0.0
avg_r2test,0.8883
std_r2test,0.0
avg_r2testadj,0.8842
std_r2testadj,0.0
avg_rmse,0.2818
std_rmse,0.0
avg_mae,0.2173
std_mae,0.0
avg_maep,63.359
std_maep,0.0
avg_mape,59.4591
std_mape,0.0
avg_smape,48.6687
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.73
