r2train_per_fold,[0]
r2test_per_fold,[0.9449118033105175]
r2testadj_per_fold,[0.9254689103612884]
rmse_per_fold,[1680.21024518336]
mae_per_fold,[1404.3723847106785]
maep_per_fold,[2.1563767328089996]
mape_per_fold,[2.2329231282284203]
smape_per_fold,[2.2519009784900064]
test_name,finalTest
name,['none']
model_name,['XGBRegressor']
decomposition,emd
nmodes,4
algorithm,xgboost
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9449
std_r2test,0.0
avg_r2testadj,0.9255
std_r2testadj,0.0
avg_rmse,1680.2102
std_rmse,0.0
avg_mae,1404.3724
std_mae,0.0
avg_maep,2.1564
std_maep,0.0
avg_mape,2.2329
std_mape,0.0
avg_smape,2.2519
std_smape,0.0
model_params,"{'objective': 'reg:squarederror', 'base_score': 0.5, 'booster': None, 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 100, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 4242, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': None, 'validate_parameters': False, 'verbosity': None}"
duration,3.83
