r2train_per_fold,[0]
r2test_per_fold,[0.15709861287796933]
r2testadj_per_fold,[-0.1403959943415709]
rmse_per_fold,[6572.381050059549]
mae_per_fold,[5941.5162927046285]
maep_per_fold,[9.123041460141883]
mape_per_fold,[9.226397854286853]
smape_per_fold,[8.738669564343253]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,ceemdan
nmodes,6
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.1571
std_r2test,0.0
avg_r2testadj,-0.1404
std_r2testadj,0.0
avg_rmse,6572.3811
std_rmse,0.0
avg_mae,5941.5163
std_mae,0.0
avg_maep,9.123
std_maep,0.0
avg_mape,9.2264
std_mape,0.0
avg_smape,8.7387
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,8.24
