r2train_per_fold,[0]
r2test_per_fold,[0.5368943918360665]
r2testadj_per_fold,[0.37344535366056053]
rmse_per_fold,[4871.630834906552]
mae_per_fold,[4442.587502949534]
maep_per_fold,[6.821475862900855]
mape_per_fold,[7.012433271943336]
smape_per_fold,[6.7258774563389965]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,emd
nmodes,1
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.5369
std_r2test,0.0
avg_r2testadj,0.3734
std_r2testadj,0.0
avg_rmse,4871.6308
std_rmse,0.0
avg_mae,4442.5875
std_mae,0.0
avg_maep,6.8215
std_maep,0.0
avg_mape,7.0124
std_mape,0.0
avg_smape,6.7259
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,7.51
