r2train_per_fold,[0]
r2test_per_fold,[0.8847582333310369]
r2testadj_per_fold,[0.844084668624344]
rmse_per_fold,[2430.1848227979926]
mae_per_fold,[1772.8033671997202]
maep_per_fold,[2.722092782864344]
mape_per_fold,[2.702400872174407]
smape_per_fold,[2.7266019442675393]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,ewt
nmodes,3
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.8848
std_r2test,0.0
avg_r2testadj,0.8441
std_r2testadj,0.0
avg_rmse,2430.1848
std_rmse,0.0
avg_mae,1772.8034
std_mae,0.0
avg_maep,2.7221
std_maep,0.0
avg_mape,2.7024
std_mape,0.0
avg_smape,2.7266
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,2.94
