r2train_per_fold,[0]
r2test_per_fold,[0.6664741855495079]
r2testadj_per_fold,[0.54875919221404]
rmse_per_fold,[4134.272295901954]
mae_per_fold,[3385.5308532433405]
maep_per_fold,[5.1983932749040385]
mape_per_fold,[5.041440953458972]
smape_per_fold,[5.186980030029757]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,eemd
nmodes,9
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.6665
std_r2test,0.0
avg_r2testadj,0.5488
std_r2testadj,0.0
avg_rmse,4134.2723
std_rmse,0.0
avg_mae,3385.5309
std_mae,0.0
avg_maep,5.1984
std_maep,0.0
avg_mape,5.0414
std_mape,0.0
avg_smape,5.187
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,0.55
