r2train_per_fold,[0]
r2test_per_fold,[0.9653815737256726]
r2testadj_per_fold,[0.9531633056288511]
rmse_per_fold,[1331.9502729452934]
mae_per_fold,[1003.7614326612396]
maep_per_fold,[1.5412491887809663]
mape_per_fold,[1.6228400771911147]
smape_per_fold,[1.6288891528593874]
test_name,finalTest
name,['none']
model_name,['KNeighborsRegressor']
decomposition,ewt
nmodes,3
algorithm,knn
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9654
std_r2test,0.0
avg_r2testadj,0.9532
std_r2testadj,0.0
avg_rmse,1331.9503
std_rmse,0.0
avg_mae,1003.7614
std_mae,0.0
avg_maep,1.5412
std_maep,0.0
avg_mape,1.6228
std_mape,0.0
avg_smape,1.6289
std_smape,0.0
model_params,"{'algorithm': 'brute', 'leaf_size': 35, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}"
duration,0.74
