r2train_per_fold,[0]
r2test_per_fold,[0.37967339504477726]
r2testadj_per_fold,[0.16073459329587514]
rmse_per_fold,[5638.252932402179]
mae_per_fold,[4895.278105596525]
maep_per_fold,[7.516570335945739]
mape_per_fold,[7.59585995043882]
smape_per_fold,[7.244284391718265]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,ceemdan
nmodes,4
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.3797
std_r2test,0.0
avg_r2testadj,0.1607
std_r2testadj,0.0
avg_rmse,5638.2529
std_rmse,0.0
avg_mae,4895.2781
std_mae,0.0
avg_maep,7.5166
std_maep,0.0
avg_mape,7.5959
std_mape,0.0
avg_smape,7.2443
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,7.18
