r2train_per_fold,[0]
r2test_per_fold,[0.8980515731897314]
r2testadj_per_fold,[0.8620697754919895]
rmse_per_fold,[2285.7283492377064]
mae_per_fold,[1929.6416298201787]
maep_per_fold,[2.9629137958740936]
mape_per_fold,[3.0757003258707534]
smape_per_fold,[3.0366230865970105]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,ewt
nmodes,9
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.8981
std_r2test,0.0
avg_r2testadj,0.8621
std_r2testadj,0.0
avg_rmse,2285.7283
std_rmse,0.0
avg_mae,1929.6416
std_mae,0.0
avg_maep,2.9629
std_maep,0.0
avg_mape,3.0757
std_mape,0.0
avg_smape,3.0366
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,4.08
