r2train_per_fold,[0]
r2test_per_fold,[0.8775567421616788]
r2testadj_per_fold,[0.8343414746893301]
rmse_per_fold,[2504.9657296876976]
mae_per_fold,[1737.3104526718091]
maep_per_fold,[2.667594349328616]
mape_per_fold,[2.5789823968191543]
smape_per_fold,[2.594021333351904]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,ewt
nmodes,7
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.8776
std_r2test,0.0
avg_r2testadj,0.8343
std_r2testadj,0.0
avg_rmse,2504.9657
std_rmse,0.0
avg_mae,1737.3105
std_mae,0.0
avg_maep,2.6676
std_maep,0.0
avg_mape,2.579
std_mape,0.0
avg_smape,2.594
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,3.46
