r2train_per_fold,[0.42958153036071756]
r2test_per_fold,[0.2608983801714526]
r2testadj_per_fold,[0.2333542204262894]
rmse_per_fold,[0.12271058516518717]
mae_per_fold,[0.08753693315594051]
maep_per_fold,[4908.734063469763]
mape_per_fold,[389.1181030163587]
smape_per_fold,[111.25614882118644]
test_name,loadForecast_IMF_0
name,['IMF_0']
model_name,['GradientBoostingRegressor']
decomposition,emd
nmodes,6
algorithm,gbr
avg_r2train,0.4296
std_r2train,0.0
avg_r2test,0.2609
std_r2test,0.0
avg_r2testadj,0.2334
std_r2testadj,0.0
avg_rmse,0.1227
std_rmse,0.0
avg_mae,0.0875
std_mae,0.0
avg_maep,4908.7341
std_maep,0.0
avg_mape,389.1181
std_mape,0.0
avg_smape,111.2561
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.71
