r2train_per_fold,"[0.9969191438314622, 0.9945364833150339, 0.9972954708201405, 0.9984400776534852, 0.9873429472763411, 0.9967018648043203, 0.9969128294809811, 0.9944615043376888, 0.9909728064658521, 0.9975361908524254]"
r2test_per_fold,"[-3.2925428150333396, -6.528741590938758, -302.1183327369305, -113.12391724386822, 0.5004714178720977, -0.3281916024453748, -0.9707583126687043, -112.68628579928117, -28.0556358420862, -1056.7858453479248]"
r2testadj_per_fold,"[-3.452513354724023, -6.809315811719084, -313.414668118431, -117.37698248277015, 0.4818554458673311, -0.37768942613899137, -1.044202721836482, -116.92304179180096, -29.13845456912047, -1096.2064358577854]"
rmse_per_fold,"[0.01399486730311716, 0.07554650866370868, 0.18269091979594804, 0.07535345022704751, 0.030143104592357278, 0.045409622991511085, 0.050903591226895493, 0.185151317608762, 0.07416610129385909, 0.08598864160476886]"
mae_per_fold,"[0.013391200970500686, 0.061820982203121655, 0.14672064761545062, 0.07437256929115262, 0.02071473288221999, 0.040449288439431456, 0.04501737100103092, 0.15868474624477333, 0.0707810396524233, 0.06522091312913465]"
maep_per_fold,"[-3.4768950842215265, -455.5910880989509, 36.02476269199569, -17.424721757001535, 24.91047420084734, -16.89138493518155, 79.68374438910192, 38.07752303575842, -19.81690176080047, 23.83633457585525]"
mape_per_fold,"[3.4753638745941187, 1116.8009512869137, 36.59536231484123, 17.403851527809845, 163.29158840007435, 16.597038224484535, 616.5586933612618, 37.29736948218923, 19.945563808881662, 23.975642684534655]"
smape_per_fold,"[3.415059869682074, 119.61079954860634, 51.40475846814313, 15.979641901308655, 36.21283565401922, 18.418303016121506, 74.50186632767742, 29.941537534745876, 22.423082706399168, 30.947258682482197]"
test_name,loadForecast_IMF_0
name,['IMF_0']
model_name,['GradientBoostingRegressor']
decomposition,ewt
nmodes,8
algorithm,gbr
avg_r2train,0.9951
std_r2train,0.0033
avg_r2test,-162.339
std_r2test,311.5878
avg_r2testadj,-168.4261
std_r2testadj,323.1998
avg_rmse,0.0819
std_rmse,0.0553
avg_mae,0.0697
std_mae,0.0458
avg_maep,-31.0668
std_maep,144.6345
avg_mape,205.1941
std_mape,351.7528
avg_smape,40.2855
std_smape,32.4733
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.49
