r2train_per_fold,[0]
r2test_per_fold,[0.8870005886814356]
r2testadj_per_fold,[0.8471184435101776]
rmse_per_fold,[2406.42561095504]
mae_per_fold,[1873.5056874156426]
maep_per_fold,[2.876718537840459]
mape_per_fold,[2.9261462603732467]
smape_per_fold,[2.860342227417347]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,emd
nmodes,1
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.887
std_r2test,0.0
avg_r2testadj,0.8471
std_r2testadj,0.0
avg_rmse,2406.4256
std_rmse,0.0
avg_mae,1873.5057
std_mae,0.0
avg_maep,2.8767
std_maep,0.0
avg_mape,2.9261
std_mape,0.0
avg_smape,2.8603
std_smape,0.0
model_params,"{'C': 10000, 'cache_size': 750, 'coef0': 10, 'degree': 2, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1e-05, 'verbose': False}"
duration,98.19
