r2train_per_fold,[0]
r2test_per_fold,[0.4209805336008495]
r2testadj_per_fold,[0.21662072193056114]
rmse_per_fold,[5447.295472179201]
mae_per_fold,[5105.613228753539]
maep_per_fold,[7.839534366430959]
mape_per_fold,[8.014648683172764]
smape_per_fold,[7.660469260603646]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,emd
nmodes,6
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.421
std_r2test,0.0
avg_r2testadj,0.2166
std_r2testadj,0.0
avg_rmse,5447.2955
std_rmse,0.0
avg_mae,5105.6132
std_mae,0.0
avg_maep,7.8395
std_maep,0.0
avg_mape,8.0146
std_mape,0.0
avg_smape,7.6605
std_smape,0.0
model_params,"{'C': 10000, 'cache_size': 750, 'coef0': 10, 'degree': 2, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1e-05, 'verbose': False}"
duration,524.32
