r2train_per_fold,[0]
r2test_per_fold,[0.9659381249070123]
r2testadj_per_fold,[0.9539162866388989]
rmse_per_fold,[1321.2001871465804]
mae_per_fold,[988.652583988904]
maep_per_fold,[1.5180499503942981]
mape_per_fold,[1.5949359013400797]
smape_per_fold,[1.5989799491024619]
test_name,finalTest
name,['none']
model_name,['KNeighborsRegressor']
decomposition,ewt
nmodes,2
algorithm,knn
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9659
std_r2test,0.0
avg_r2testadj,0.9539
std_r2testadj,0.0
avg_rmse,1321.2002
std_rmse,0.0
avg_mae,988.6526
std_mae,0.0
avg_maep,1.518
std_maep,0.0
avg_mape,1.5949
std_mape,0.0
avg_smape,1.599
std_smape,0.0
model_params,"{'algorithm': 'brute', 'leaf_size': 35, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}"
duration,0.88
