r2train_per_fold,[0]
r2test_per_fold,[0.5170252810282895]
r2testadj_per_fold,[0.3465636155088623]
rmse_per_fold,[4975.039689200214]
mae_per_fold,[4363.064438153276]
maep_per_fold,[6.699370295662973]
mape_per_fold,[7.095313178529983]
smape_per_fold,[6.7657452314071715]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,ceemdan
nmodes,1
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.517
std_r2test,0.0
avg_r2testadj,0.3466
std_r2testadj,0.0
avg_rmse,4975.0397
std_rmse,0.0
avg_mae,4363.0644
std_mae,0.0
avg_maep,6.6994
std_maep,0.0
avg_mape,7.0953
std_mape,0.0
avg_smape,6.7657
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,3.61
