r2train_per_fold,[0]
r2test_per_fold,[-0.677032315591898]
r2testadj_per_fold,[-1.2689260740360973]
rmse_per_fold,[9270.540727312613]
mae_per_fold,[8761.662810735113]
maep_per_fold,[13.453302009836534]
mape_per_fold,[13.665955898212632]
smape_per_fold,[12.69515611702435]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,ceemdan
nmodes,5
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,-0.677
std_r2test,0.0
avg_r2testadj,-1.2689
std_r2testadj,0.0
avg_rmse,9270.5407
std_rmse,0.0
avg_mae,8761.6628
std_mae,0.0
avg_maep,13.4533
std_maep,0.0
avg_mape,13.666
std_mape,0.0
avg_smape,12.6952
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,6.92
