r2train_per_fold,[0]
r2test_per_fold,[0.8899982020333568]
r2testadj_per_fold,[0.8511740380451298]
rmse_per_fold,[2374.292618803822]
mae_per_fold,[1868.8888645030408]
maep_per_fold,[2.8696295281044235]
mape_per_fold,[2.936801394648854]
smape_per_fold,[2.9029176435990776]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,ewt
nmodes,8
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.89
std_r2test,0.0
avg_r2testadj,0.8512
std_r2testadj,0.0
avg_rmse,2374.2926
std_rmse,0.0
avg_mae,1868.8889
std_mae,0.0
avg_maep,2.8696
std_maep,0.0
avg_mape,2.9368
std_mape,0.0
avg_smape,2.9029
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,3.97
