r2train_per_fold,[0]
r2test_per_fold,[0.8150261640587959]
r2testadj_per_fold,[0.7497412807854298]
rmse_per_fold,[3078.856885021219]
mae_per_fold,[2459.077281313487]
maep_per_fold,[3.7758482659825647]
mape_per_fold,[3.767492759753525]
smape_per_fold,[3.6627834874098992]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,none
nmodes,6
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.815
std_r2test,0.0
avg_r2testadj,0.7497
std_r2testadj,0.0
avg_rmse,3078.8569
std_rmse,0.0
avg_mae,2459.0773
std_mae,0.0
avg_maep,3.7758
std_maep,0.0
avg_mape,3.7675
std_mape,0.0
avg_smape,3.6628
std_smape,0.0
model_params,"{'C': 10000, 'cache_size': 750, 'coef0': 10, 'degree': 2, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1e-05, 'verbose': False}"
