r2train_per_fold,[0]
r2test_per_fold,[0.8934939527699727]
r2testadj_per_fold,[0.8559035831593749]
rmse_per_fold,[2336.2616713155408]
mae_per_fold,[1720.5391848477063]
maep_per_fold,[2.6418425102086425]
mape_per_fold,[2.6284705489298195]
smape_per_fold,[2.6346419243361745]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,ewt
nmodes,2
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.8935
std_r2test,0.0
avg_r2testadj,0.8559
std_r2testadj,0.0
avg_rmse,2336.2617
std_rmse,0.0
avg_mae,1720.5392
std_mae,0.0
avg_maep,2.6418
std_maep,0.0
avg_mape,2.6285
std_mape,0.0
avg_smape,2.6346
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,3.85
