r2train_per_fold,[0]
r2test_per_fold,[-0.3256379625044672]
r2testadj_per_fold,[-0.7935101845648675]
rmse_per_fold,[8242.269616109206]
mae_per_fold,[7860.598290963124]
maep_per_fold,[12.06974122044069]
mape_per_fold,[12.549984799206534]
smape_per_fold,[11.702542403108476]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,ceemdan
nmodes,2
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,-0.3256
std_r2test,0.0
avg_r2testadj,-0.7935
std_r2testadj,0.0
avg_rmse,8242.2696
std_rmse,0.0
avg_mae,7860.5983
std_mae,0.0
avg_maep,12.0697
std_maep,0.0
avg_mape,12.55
std_mape,0.0
avg_smape,11.7025
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,2.42
