r2train_per_fold,[0]
r2test_per_fold,[0.19387379272778416]
r2testadj_per_fold,[-0.09064133925064488]
rmse_per_fold,[6427.408025200501]
mae_per_fold,[6097.221908004064]
maep_per_fold,[9.362123323082804]
mape_per_fold,[9.57247466480944]
smape_per_fold,[9.082977818476316]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,eemd
nmodes,1
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.1939
std_r2test,0.0
avg_r2testadj,-0.0906
std_r2testadj,0.0
avg_rmse,6427.408
std_rmse,0.0
avg_mae,6097.2219
std_mae,0.0
avg_maep,9.3621
std_maep,0.0
avg_mape,9.5725
std_mape,0.0
avg_smape,9.083
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,4.1
