r2train_per_fold,[0]
r2test_per_fold,[0.002302744937677126]
r2testadj_per_fold,[-0.3498256980254957]
rmse_per_fold,[7150.4560102378655]
mae_per_fold,[6743.618677035926]
maep_per_fold,[10.354648502357373]
mape_per_fold,[10.473894139218858]
smape_per_fold,[10.559798754179955]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,emd
nmodes,1
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.0023
std_r2test,0.0
avg_r2testadj,-0.3498
std_r2testadj,0.0
avg_rmse,7150.456
std_rmse,0.0
avg_mae,6743.6187
std_mae,0.0
avg_maep,10.3546
std_maep,0.0
avg_mape,10.4739
std_mape,0.0
avg_smape,10.5598
std_smape,0.0
model_params,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
duration,3.59
