r2train_per_fold,[0]
r2test_per_fold,[0.32999398170690075]
r2testadj_per_fold,[0.09352126936815974]
rmse_per_fold,[5859.677338822866]
mae_per_fold,[5195.499986375137]
maep_per_fold,[7.9775531104856485]
mape_per_fold,[8.459834881066891]
smape_per_fold,[8.003307542983327]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,emd
nmodes,3
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.33
std_r2test,0.0
avg_r2testadj,0.0935
std_r2testadj,0.0
avg_rmse,5859.6773
std_rmse,0.0
avg_mae,5195.5
std_mae,0.0
avg_maep,7.9776
std_maep,0.0
avg_mape,8.4598
std_mape,0.0
avg_smape,8.0033
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,10.86
