r2train_per_fold,[0]
r2test_per_fold,[0.6577282051168003]
r2testadj_per_fold,[0.5369263951580239]
rmse_per_fold,[4188.127617231549]
mae_per_fold,[3419.1863777367453]
maep_per_fold,[5.250070444533811]
mape_per_fold,[5.08016895052912]
smape_per_fold,[5.233963306991113]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,eemd
nmodes,8
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.6577
std_r2test,0.0
avg_r2testadj,0.5369
std_r2testadj,0.0
avg_rmse,4188.1276
std_rmse,0.0
avg_mae,3419.1864
std_mae,0.0
avg_maep,5.2501
std_maep,0.0
avg_mape,5.0802
std_mape,0.0
avg_smape,5.234
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,0.55
