r2train_per_fold,[0]
r2test_per_fold,[0.966938418884935]
r2testadj_per_fold,[0.9552696255502062]
rmse_per_fold,[1301.6558066660696]
mae_per_fold,[962.2726308683353]
maep_per_fold,[1.4775442285920957]
mape_per_fold,[1.5473067969184915]
smape_per_fold,[1.5486329909527035]
test_name,finalTest
name,['none']
model_name,['KNeighborsRegressor']
decomposition,ewt
nmodes,8
algorithm,knn
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9669
std_r2test,0.0
avg_r2testadj,0.9553
std_r2testadj,0.0
avg_rmse,1301.6558
std_rmse,0.0
avg_mae,962.2726
std_mae,0.0
avg_maep,1.4775
std_maep,0.0
avg_mape,1.5473
std_mape,0.0
avg_smape,1.5486
std_smape,0.0
model_params,"{'algorithm': 'brute', 'leaf_size': 35, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}"
duration,1.03
