r2train_per_fold,"[0.9558845428923382, 0.9578329588953435, 0.9532424196821073, 0.9619992795006344, 0.9454413195073598, 0.956776809808151, 0.9735012259271544, 0.956963890960713, 0.9602075373539495, 0.9666754582868204]"
r2test_per_fold,"[0.9465787416005149, 0.8839386749079017, 0.6560220320849697, 0.947239533025157, 0.6736985293189705, -0.09351094675864013, 0.9603217071710999, 0.10173687100276718, 0.6552940539793417, 0.47348114028738375]"
r2testadj_per_fold,"[0.9445878872502236, 0.8796134081342831, 0.6432029773800617, 0.9452733044422436, 0.6615382260637768, -0.13426290750740932, 0.9588430130284079, 0.06826122644386412, 0.6424478696555904, 0.4538593194285284]"
rmse_per_fold,"[0.09854711631431638, 0.21094756446692683, 0.1736133939833619, 0.09415349267491915, 0.2251147785638305, 0.3992502924584289, 0.08502649929761194, 0.34107927448822056, 0.20442299824215798, 0.3066446571481426]"
mae_per_fold,"[0.07873478712259852, 0.16363376977878893, 0.15001935172664688, 0.07494146811524895, 0.19467011430243727, 0.37358633804159147, 0.06691565960177964, 0.3255165353664462, 0.1869276447353314, 0.2406604866099979]"
maep_per_fold,"[-18.58505779929744, -76.03359558018184, 47.78120679551351, -15.359227841660958, 233.41663469988796, -169.56766520770387, 247.64096723288867, 147.99045704493, -45.67596349028181, 71.0876892869114]"
mape_per_fold,"[43.307468344988244, 176.43671479346358, 62.683858212634114, 36.46171966481859, 252.7390599340636, 551.025079944559, 39.951246383244246, 2961.027178701798, 85.41940218501077, 106.8435052344912]"
smape_per_fold,"[36.400735782444414, 54.915362263634485, 42.57977089004045, 28.11941257894533, 80.58439906130282, 125.48088195672331, 23.687493643658815, 107.35296124146973, 120.26569949772852, 55.869877320350206]"
test_name,loadForecast_IMF_5
name,['IMF_5']
model_name,['GradientBoostingRegressor']
decomposition,eemd
nmodes,5
algorithm,gbr
avg_r2train,0.9589
std_r2train,0.0072
avg_r2test,0.6205
std_r2test,0.347
avg_r2testadj,0.6063
std_r2testadj,0.3599
avg_rmse,0.2139
std_rmse,0.1026
avg_mae,0.1856
std_mae,0.0988
avg_maep,42.2695
std_maep,128.2115
avg_mape,431.5895
std_mape,856.2164
avg_smape,67.5257
std_smape,36.411
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.5
