r2train_per_fold,[0]
r2test_per_fold,[0.9438836350059268]
r2testadj_per_fold,[0.9240778591256656]
rmse_per_fold,[1695.8175137562937]
mae_per_fold,[1183.9171510562592]
maep_per_fold,[1.81787353974294]
mape_per_fold,[1.7926110647482494]
smape_per_fold,[1.7678416833253163]
test_name,finalTest
name,['none']
model_name,['KNeighborsRegressor']
decomposition,none
nmodes,6
algorithm,knn
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9439
std_r2test,0.0
avg_r2testadj,0.9241
std_r2testadj,0.0
avg_rmse,1695.8175
std_rmse,0.0
avg_mae,1183.9172
std_mae,0.0
avg_maep,1.8179
std_maep,0.0
avg_mape,1.7926
std_mape,0.0
avg_smape,1.7678
std_smape,0.0
model_params,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': -1, 'n_neighbors': 17, 'p': 2, 'weights': 'uniform'}"
