r2train_per_fold,[0]
r2test_per_fold,[0.6698016574589764]
r2testadj_per_fold,[0.5532610659739092]
rmse_per_fold,[4113.597496585711]
mae_per_fold,[3372.2787968469834]
maep_per_fold,[5.178045092053046]
mape_per_fold,[5.026191264787242]
smape_per_fold,[5.168495444619305]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,eemd
nmodes,7
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.6698
std_r2test,0.0
avg_r2testadj,0.5533
std_r2testadj,0.0
avg_rmse,4113.5975
std_rmse,0.0
avg_mae,3372.2788
std_mae,0.0
avg_maep,5.178
std_maep,0.0
avg_mape,5.0262
std_mape,0.0
avg_smape,5.1685
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,0.57
