r2train_per_fold,[0]
r2test_per_fold,[0.9463645279026406]
r2testadj_per_fold,[0.9274343612800431]
rmse_per_fold,[1657.9079127848695]
mae_per_fold,[1191.2967586270922]
maep_per_fold,[1.8292047324068317]
mape_per_fold,[1.8037051865639864]
smape_per_fold,[1.7800307510692794]
test_name,finalTest
name,['none']
model_name,['KNeighborsRegressor']
decomposition,none
nmodes,6
algorithm,knn
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9464
std_r2test,0.0
avg_r2testadj,0.9274
std_r2testadj,0.0
avg_rmse,1657.9079
std_rmse,0.0
avg_mae,1191.2968
std_mae,0.0
avg_maep,1.8292
std_maep,0.0
avg_mape,1.8037
std_mape,0.0
avg_smape,1.78
std_smape,0.0
model_params,"{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': -1, 'n_neighbors': 18, 'p': 2, 'weights': 'uniform'}"
