r2train_per_fold,[0]
r2test_per_fold,[0.8626449717901192]
r2testadj_per_fold,[0.8141667265395731]
rmse_per_fold,[2653.1184011259966]
mae_per_fold,[2467.7639030943483]
maep_per_fold,[3.789186344471497]
mape_per_fold,[3.8388805569378377]
smape_per_fold,[3.8476243725921857]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,none
nmodes,6
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.8626
std_r2test,0.0
avg_r2testadj,0.8142
std_r2testadj,0.0
avg_rmse,2653.1184
std_rmse,0.0
avg_mae,2467.7639
std_mae,0.0
avg_maep,3.7892
std_maep,0.0
avg_mape,3.8389
std_mape,0.0
avg_smape,3.8476
std_smape,0.0
model_params,"{'C': 100, 'cache_size': 200, 'coef0': 1, 'degree': 3, 'epsilon': 0.05, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': -1, 'shrinking': False, 'tol': 0.001, 'verbose': False}"
