r2train_per_fold,[0]
r2test_per_fold,[-0.011428531946862996]
r2testadj_per_fold,[-0.3684033079281088]
rmse_per_fold,[7199.493615018646]
mae_per_fold,[6762.087046458516]
maep_per_fold,[10.383006196192257]
mape_per_fold,[10.746274549702536]
smape_per_fold,[10.109176512673539]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,ceemdan
nmodes,7
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,-0.0114
std_r2test,0.0
avg_r2testadj,-0.3684
std_r2testadj,0.0
avg_rmse,7199.4936
std_rmse,0.0
avg_mae,6762.087
std_mae,0.0
avg_maep,10.383
std_maep,0.0
avg_mape,10.7463
std_mape,0.0
avg_smape,10.1092
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,7.17
