r2train_per_fold,[0]
r2test_per_fold,[0.9472600029710047]
r2testadj_per_fold,[0.9286458863725358]
rmse_per_fold,[1644.0097960742314]
mae_per_fold,[1128.6120253165836]
maep_per_fold,[1.732953978771452]
mape_per_fold,[1.7046219763043542]
smape_per_fold,[1.6832154586405943]
test_name,finalTest
name,['none']
model_name,['KNeighborsRegressor']
decomposition,none
nmodes,6
algorithm,knn
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9473
std_r2test,0.0
avg_r2testadj,0.9286
std_r2testadj,0.0
avg_rmse,1644.0098
std_rmse,0.0
avg_mae,1128.612
std_mae,0.0
avg_maep,1.733
std_maep,0.0
avg_mape,1.7046
std_mape,0.0
avg_smape,1.6832
std_smape,0.0
model_params,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': -1, 'n_neighbors': 19, 'p': 2, 'weights': 'uniform'}"
