r2train_per_fold,[0]
r2test_per_fold,[0.9170527911232039]
r2testadj_per_fold,[0.8877773056372759]
rmse_per_fold,[2061.746371686944]
mae_per_fold,[1598.8066324623062]
maep_per_fold,[2.4549253887619624]
mape_per_fold,[2.4657380562948417]
smape_per_fold,[2.423373287119776]
test_name,finalTest
name,['none']
model_name,['KNeighborsRegressor']
decomposition,none
nmodes,6
algorithm,knn
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9171
std_r2test,0.0
avg_r2testadj,0.8878
std_r2testadj,0.0
avg_rmse,2061.7464
std_rmse,0.0
avg_mae,1598.8066
std_mae,0.0
avg_maep,2.4549
std_maep,0.0
avg_mape,2.4657
std_mape,0.0
avg_smape,2.4234
std_smape,0.0
model_params,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': -1, 'n_neighbors': 18, 'p': 3, 'weights': 'uniform'}"
