r2train_per_fold,"[-0.002834856668660013, -0.08947703982062438, -0.018680827127502964, -0.0019398752537806985, -0.00769662792567849, -0.01956927262138697, -0.02508507274049454, -0.0018221007931866762, -0.0008677500613267775, -0.0024086624603458784]"
r2test_per_fold,"[-0.001651536816266841, -0.09415445183675275, -0.024736789058054542, -0.008746291019036567, -0.011479165113435386, -0.01271754509072398, -0.025861051821536307, -0.016112673918097675, -0.009369151016914712, -0.00035630149986598525]"
r2testadj_per_fold,"[-0.03898016551749417, -0.13493039414122787, -0.06292573771860321, -0.04633932049800693, -0.04917404083194854, -0.050458571615844106, -0.06409189847327057, -0.05398022698336824, -0.04698539266971902, -0.0376366605619729]"
rmse_per_fold,"[0.14871200237245288, 0.14204765112274878, 0.11297578594377594, 0.16485318715618705, 0.12895960867872022, 0.12941541983823046, 0.12101397033114801, 0.09709224106910014, 0.13671545880756913, 0.13931800265560226]"
mae_per_fold,"[0.11773734751432922, 0.11842325995597973, 0.09547754070439252, 0.13516004924416383, 0.10973192185107797, 0.10505013019296237, 0.09120356279881613, 0.07973656538323734, 0.1054938235240643, 0.10559463919540865]"
maep_per_fold,"[2492.5063270115006, 2085.29162783422, 1541.755704355286, 788.4510158933257, 895.2418385709026, 3138.6096997943678, 1300.3445231994976, 671.6768463453793, 4505.014011297682, -4803.526122280708]"
mape_per_fold,"[100.06539787144763, 726.7864061357534, 121.47737119543605, 100.64341274780939, 99.6242533955448, 154.0139022825778, 176.43373197245614, 99.70713346212686, 116.40931380328318, 100.89271688949859]"
smape_per_fold,"[195.31257154199844, 152.31913317550197, 170.53660736081838, 193.87901977338998, 193.6925477282045, 171.84801983729545, 142.0231005540759, 196.85127808158924, 161.57398052427604, 197.10154314775997]"
test_name,loadForecast_IMF_0
name,['IMF_0']
model_name,['SVR']
decomposition,emd
nmodes,6
algorithm,svr
avg_r2train,-0.017
std_r2train,0.0256
avg_r2test,-0.0205
std_r2test,0.0258
avg_r2testadj,-0.0586
std_r2testadj,0.0268
avg_rmse,0.1321
std_rmse,0.018
avg_mae,0.1064
std_mae,0.0148
avg_maep,1261.5365
std_maep,2319.6625
avg_mape,179.6054
std_mape,184.1148
avg_smape,177.5138
std_smape,19.5786
model_params,"{'C': 1000000, 'cache_size': 200, 'coef0': 2, 'degree': 11, 'epsilon': 0.7000000000000001, 'gamma': 10, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1e-05, 'verbose': False}"
duration,0.15
