r2train_per_fold,[0]
r2test_per_fold,[0.8787846240533972]
r2testadj_per_fold,[0.8360027266604786]
rmse_per_fold,[2492.373970088914]
mae_per_fold,[1739.3850771615107]
maep_per_fold,[2.67077988047948]
mape_per_fold,[2.6019370274102993]
smape_per_fold,[2.6106210609295197]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,ewt
nmodes,6
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.8788
std_r2test,0.0
avg_r2testadj,0.836
std_r2testadj,0.0
avg_rmse,2492.374
std_rmse,0.0
avg_mae,1739.3851
std_mae,0.0
avg_maep,2.6708
std_maep,0.0
avg_mape,2.6019
std_mape,0.0
avg_smape,2.6106
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,3.34
