r2train_per_fold,[0]
r2test_per_fold,[-0.07871205959857952]
r2testadj_per_fold,[-0.45943396298631356]
rmse_per_fold,[7435.105195779842]
mae_per_fold,[6934.786627564184]
maep_per_fold,[10.648181845127311]
mape_per_fold,[10.559141465548873]
smape_per_fold,[10.850768749707033]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,emd
nmodes,8
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,-0.0787
std_r2test,0.0
avg_r2testadj,-0.4594
std_r2testadj,0.0
avg_rmse,7435.1052
std_rmse,0.0
avg_mae,6934.7866
std_mae,0.0
avg_maep,10.6482
std_maep,0.0
avg_mape,10.5591
std_mape,0.0
avg_smape,10.8508
std_smape,0.0
model_params,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
duration,5.13
