r2train_per_fold,[0]
r2test_per_fold,[0.9668469759295342]
r2testadj_per_fold,[0.9551459086105463]
rmse_per_fold,[1303.454647813109]
mae_per_fold,[963.1948893640802]
maep_per_fold,[1.4789603321722506]
mape_per_fold,[1.550069333677343]
smape_per_fold,[1.5517782400208429]
test_name,finalTest
name,['none']
model_name,['KNeighborsRegressor']
decomposition,ewt
nmodes,5
algorithm,knn
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9668
std_r2test,0.0
avg_r2testadj,0.9551
std_r2testadj,0.0
avg_rmse,1303.4546
std_rmse,0.0
avg_mae,963.1949
std_mae,0.0
avg_maep,1.479
std_maep,0.0
avg_mape,1.5501
std_mape,0.0
avg_smape,1.5518
std_smape,0.0
model_params,"{'algorithm': 'brute', 'leaf_size': 35, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}"
duration,0.8
