r2train_per_fold,[0.5991927623712583]
r2test_per_fold,[0.2921342083789109]
r2testadj_per_fold,[0.2657541167657026]
rmse_per_fold,[0.31796860151710593]
mae_per_fold,[0.25593765036911637]
maep_per_fold,[1745.2824210236138]
mape_per_fold,[184.60310459780476]
smape_per_fold,[121.73945166043647]
test_name,loadForecast_IMF_1
name,['IMF_1']
model_name,['GradientBoostingRegressor']
decomposition,emd
nmodes,6
algorithm,gbr
avg_r2train,0.5992
std_r2train,0.0
avg_r2test,0.2921
std_r2test,0.0
avg_r2testadj,0.2658
std_r2testadj,0.0
avg_rmse,0.318
std_rmse,0.0
avg_mae,0.2559
std_mae,0.0
avg_maep,1745.2824
std_maep,0.0
avg_mape,184.6031
std_mape,0.0
avg_smape,121.7395
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.71
