r2train_per_fold,[0]
r2test_per_fold,[0.31743677558292094]
r2testadj_per_fold,[0.07653210814159894]
rmse_per_fold,[5914.333270452474]
mae_per_fold,[5483.459892496139]
maep_per_fold,[8.419707946554372]
mape_per_fold,[8.665632202178326]
smape_per_fold,[8.24304826185474]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,eemd
nmodes,2
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.3174
std_r2test,0.0
avg_r2testadj,0.0765
std_r2testadj,0.0
avg_rmse,5914.3333
std_rmse,0.0
avg_mae,5483.4599
std_mae,0.0
avg_maep,8.4197
std_maep,0.0
avg_mape,8.6656
std_mape,0.0
avg_smape,8.243
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,2.68
