r2train_per_fold,[0]
r2test_per_fold,[0.9668686625098629]
r2testadj_per_fold,[0.9551752492780499]
rmse_per_fold,[1303.0282598904123]
mae_per_fold,[962.8096621675153]
maep_per_fold,[1.4783688259787642]
mape_per_fold,[1.5494500285933555]
smape_per_fold,[1.551171565526102]
test_name,finalTest
name,['none']
model_name,['KNeighborsRegressor']
decomposition,ewt
nmodes,4
algorithm,knn
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9669
std_r2test,0.0
avg_r2testadj,0.9552
std_r2testadj,0.0
avg_rmse,1303.0283
std_rmse,0.0
avg_mae,962.8097
std_mae,0.0
avg_maep,1.4784
std_maep,0.0
avg_mape,1.5495
std_mape,0.0
avg_smape,1.5512
std_smape,0.0
model_params,"{'algorithm': 'brute', 'leaf_size': 35, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}"
duration,0.71
