r2train_per_fold,[0]
r2test_per_fold,[0.6045870610559563]
r2testadj_per_fold,[0.4650295531933527]
rmse_per_fold,[4501.5262680316]
mae_per_fold,[3917.0018702258035]
maep_per_fold,[6.014452995004149]
mape_per_fold,[6.187905238703834]
smape_per_fold,[5.974747210188892]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,eemd
nmodes,4
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.6046
std_r2test,0.0
avg_r2testadj,0.465
std_r2testadj,0.0
avg_rmse,4501.5263
std_rmse,0.0
avg_mae,3917.0019
std_mae,0.0
avg_maep,6.0145
std_maep,0.0
avg_mape,6.1879
std_mape,0.0
avg_smape,5.9747
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,0.66
