r2train_per_fold,[0]
r2test_per_fold,[0.9483965967479847]
r2testadj_per_fold,[0.9301836308943323]
rmse_per_fold,[1626.1983748021075]
mae_per_fold,[1112.5961931885865]
maep_per_fold,[1.708362091225541]
mape_per_fold,[1.680855028582515]
smape_per_fold,[1.658167701763631]
test_name,finalTest
name,['none']
model_name,['KNeighborsRegressor']
decomposition,none
nmodes,6
algorithm,knn
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9484
std_r2test,0.0
avg_r2testadj,0.9302
std_r2testadj,0.0
avg_rmse,1626.1984
std_rmse,0.0
avg_mae,1112.5962
std_mae,0.0
avg_maep,1.7084
std_maep,0.0
avg_mape,1.6809
std_mape,0.0
avg_smape,1.6582
std_smape,0.0
model_params,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'euclidean', 'metric_params': None, 'n_jobs': -1, 'n_neighbors': 18, 'p': 2, 'weights': 'uniform'}"
