r2train_per_fold,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
r2test_per_fold,"[0.7883878623196696, 0.7975743427817241, 0.14250812234129162, 0.7918499121232659, 0.4853304621288693, 0.5126067493614407, 0.47671812635653543, 0.44309679982230543, 0.4566340123795233, 0.8028591932233315]"
r2testadj_per_fold,"[0.7841796663998903, 0.7935488325529516, 0.1254557270469423, 0.7877105637848081, 0.4750955565462047, 0.502914269945333, 0.4663119527329438, 0.43202202027331715, 0.4458284387620707, 0.7989387794522046]"
rmse_per_fold,"[994.2742806557762, 859.3213610046138, 1734.1671432039673, 1552.9963503342315, 1521.9002774073042, 1698.745901330721, 1441.7511193680905, 1243.592478275391, 2455.708677730708, 832.144186077776]"
mae_per_fold,"[797.3075592682549, 693.3876332019435, 1415.3918432439334, 1186.6018996035796, 1288.7547560984158, 899.6520385705636, 1188.5460755783192, 1023.4316719652476, 1963.311016341875, 625.937562813314]"
maep_per_fold,"[6.3277108271542994, 5.526285390644121, 10.802422577000966, 7.06678838290266, 8.936254737758983, 7.179422044020464, 9.378612411144546, 7.749722253946562, 11.254866441420125, 4.569809339065972]"
mape_per_fold,"[6.339505908986352, 5.497727441055613, 11.477394883634283, 6.890771972562145, 9.247898935477647, 6.058902399356173, 9.243441912575522, 8.006244573905576, 11.113541202670056, 4.731385171129598]"
smape_per_fold,"[6.205685151213711, 5.5427386067728674, 10.58324361633028, 6.891698558453939, 8.716374448775138, 6.609968235453205, 9.197192919831807, 7.553129175398292, 11.051487132491774, 4.611770924164124]"
test_name,plotResults
name,"['kfold_0', 'kfold_1', 'kfold_2', 'kfold_3', 'kfold_4', 'kfold_5', 'kfold_6', 'kfold_7', 'kfold_8', 'kfold_9']"
model_name,['GradientBoostingRegressor']
decomposition,eemd
nmodes,2
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.5698
std_r2test,0.2083
avg_r2testadj,0.5612
std_r2testadj,0.2124
avg_rmse,1433.4602
std_rmse,463.4785
avg_mae,1108.2322
std_mae,377.1952
avg_maep,7.8792
std_maep,2.0825
avg_mape,7.8607
std_mape,2.2225
avg_smape,7.6963
std_smape,2.0275
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,0.09
