r2train_per_fold,[0]
r2test_per_fold,[0.878585915735677]
r2testadj_per_fold,[0.8357338859953277]
rmse_per_fold,[2494.4160073842713]
mae_per_fold,[1742.9438054053887]
maep_per_fold,[2.6762442137767124]
mape_per_fold,[2.638903188843259]
smape_per_fold,[2.6372404252328656]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,ewt
nmodes,5
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.8786
std_r2test,0.0
avg_r2testadj,0.8357
std_r2testadj,0.0
avg_rmse,2494.416
std_rmse,0.0
avg_mae,1742.9438
std_mae,0.0
avg_maep,2.6762
std_maep,0.0
avg_mape,2.6389
std_mape,0.0
avg_smape,2.6372
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,3.39
