r2train_per_fold,[0.7865793102340943]
r2test_per_fold,[0.7420467188847764]
r2testadj_per_fold,[0.7324335531289294]
rmse_per_fold,[0.2541264934646576]
mae_per_fold,[0.21905315959009045]
maep_per_fold,[672.3693947803547]
mape_per_fold,[247.83118770110826]
smape_per_fold,[69.03166829273599]
test_name,loadForecast_IMF_2
name,['IMF_2']
model_name,['GradientBoostingRegressor']
decomposition,emd
nmodes,6
algorithm,gbr
avg_r2train,0.7866
std_r2train,0.0
avg_r2test,0.742
std_r2test,0.0
avg_r2testadj,0.7324
std_r2testadj,0.0
avg_rmse,0.2541
std_rmse,0.0
avg_mae,0.2191
std_mae,0.0
avg_maep,672.3694
std_maep,0.0
avg_mape,247.8312
std_mape,0.0
avg_smape,69.0317
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.66
