r2train_per_fold,[0]
r2test_per_fold,[0.9691026205767125]
r2testadj_per_fold,[0.9581976631331992]
rmse_per_fold,[1258.3318044210628]
mae_per_fold,[877.7605231593149]
maep_per_fold,[1.3477781176314876]
mape_per_fold,[1.3253030309694926]
smape_per_fold,[1.3099514137228532]
test_name,finalTest
name,['none']
model_name,['KNeighborsRegressor']
decomposition,emd
nmodes,9
algorithm,knn
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9691
std_r2test,0.0
avg_r2testadj,0.9582
std_r2testadj,0.0
avg_rmse,1258.3318
std_rmse,0.0
avg_mae,877.7605
std_mae,0.0
avg_maep,1.3478
std_maep,0.0
avg_mape,1.3253
std_mape,0.0
avg_smape,1.31
std_smape,0.0
model_params,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}"
duration,3.7
