r2train_per_fold,[0]
r2test_per_fold,[0.23097844798790856]
r2testadj_per_fold,[-0.04044092331047655]
rmse_per_fold,[6277.744064662685]
mae_per_fold,[5851.715805121531]
maep_per_fold,[8.985155181454491]
mape_per_fold,[9.355433483025342]
smape_per_fold,[8.856989184819746]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,emd
nmodes,2
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.231
std_r2test,0.0
avg_r2testadj,-0.0404
std_r2testadj,0.0
avg_rmse,6277.7441
std_rmse,0.0
avg_mae,5851.7158
std_mae,0.0
avg_maep,8.9852
std_maep,0.0
avg_mape,9.3554
std_mape,0.0
avg_smape,8.857
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,6.72
