Date;Year;Month;Day;Weekday;Holiday_name;Type;Details
2005-01-01;2005;1;1;Saturday;New Year's Day;Federal Holiday; 
2005-01-06;2005;1;6;Thursday;Epiphany;Christian; 
2005-01-07;2005;1;7;Friday;Orthodox Christmas Day;Orthodox; 
2005-01-13;2005;1;13;Thursday;Stephen Foster Memorial Day;Observance; 
2005-01-14;2005;1;14;Friday;Orthodox New Year;Orthodox; 
2005-01-14;2005;1;14;Friday;Lee-Jackson Day;State holiday;Virginia
2005-01-17;2005;1;17;Monday;Martin Luther King Jr. Day;Federal Holiday; 
2005-01-17;2005;1;17;Monday;Robert E. Lee's Birthday;State holiday;AL, GA, MS
2005-01-17;2005;1;17;Monday;Robert E. Lee's Birthday;State holiday;Arkansas
2005-01-17;2005;1;17;Monday;Idaho Human Rights Day;State holiday;Idaho
2005-01-17;2005;1;17;Monday;Civil Rights Day;State holiday;Arizona, New Hampshire
2005-01-19;2005;1;19;Wednesday;Robert E. Lee's Birthday;State holiday;Florida
2005-01-19;2005;1;19;Wednesday;Confederate Heroes' Day;State holiday;Texas
2005-01-20;2005;1;20;Thursday;Inauguration Day;State holiday;DC, LA, MD, VA
2005-01-21;2005;1;21;Friday;Eid al-Adha;Muslim; 
2005-01-25;2005;1;25;Tuesday;Tu Bishvat/Tu B'Shevat;Jewish holiday; 
2005-01-29;2005;1;29;Saturday;Kansas Day;Observance; 
2005-02-01;2005;2;1;Tuesday;National Freedom Day;Observance; 
2005-02-01;2005;2;1;Tuesday;First Day of Black History Month;Annual monthly observance; 
2005-02-02;2005;2;2;Wednesday;Groundhog Day;Observance; 
2005-02-04;2005;2;4;Friday;Rosa Parks Day;Local observance;California
2005-02-04;2005;2;4;Friday;National Wear Red Day;Observance; 
2005-02-06;2005;2;6;Sunday;Super Bowl;Sporting event; 
2005-02-08;2005;2;8;Tuesday;Shrove Tuesday/Mardi Gras;State holiday;Alabama*, Louisiana
2005-02-08;2005;2;8;Tuesday;Shrove Tuesday/Mardi Gras;Observance, Christian; 
2005-02-09;2005;2;9;Wednesday;Ash Wednesday;Christian; 
2005-02-09;2005;2;9;Wednesday;Chinese New Year;Observance; 
2005-02-10;2005;2;10;Thursday;Muharram;Muslim; 
2005-02-11;2005;2;11;Friday;Lincoln's Birthday observed;State holiday;CA, CT, IL, MO, NJ, NY
2005-02-12;2005;2;12;Saturday;Lincoln's Birthday;State holiday;CA, CT, IL, MO, NJ, NY
2005-02-14;2005;2;14;Monday;Valentine's Day;Observance; 
2005-02-14;2005;2;14;Monday;Statehood Day;Local observance;Arizona
2005-02-15;2005;2;15;Tuesday;Susan B. Anthony's Birthday;Local observance;New York, Wisconsin
2005-02-16;2005;2;16;Wednesday;Elizabeth Peratrovich Day;Local observance;Alaska
2005-02-21;2005;2;21;Monday;Presidents' Day;Federal Holiday;All except DE, GA, IA, IN, KS, KY, LA, NC, NM, RI, WI
2005-02-21;2005;2;21;Monday;Daisy Gatson Bates Day;State holiday;Arkansas
2005-02-28;2005;2;28;Monday;Linus Pauling Day;Local observance;Oregon
2005-03-01;2005;3;1;Tuesday;St. David's Day;Observance, Christian; 
2005-03-01;2005;3;1;Tuesday;Town Meeting Day;State holiday;Vermont
2005-03-01;2005;3;1;Tuesday;First Day of Women's History Month;Annual monthly observance; 
2005-03-02;2005;3;2;Wednesday;Texas Independence Day;State holiday;Texas
2005-03-02;2005;3;2;Wednesday;Read Across America Day;Observance; 
2005-03-04;2005;3;4;Friday;Employee Appreciation Day;Observance; 
2005-03-07;2005;3;7;Monday;Casimir Pulaski Day;Local observance;Illinois**
2005-03-17;2005;3;17;Thursday;St. Patrick's Day;Observance, Christian; 
2005-03-17;2005;3;17;Thursday;Evacuation Day;State holiday;Massachusetts*
2005-03-20;2005;3;20;Sunday;Palm Sunday;Christian; 
2005-03-20;2005;3;20;Sunday;March Equinox;Season; 
2005-03-24;2005;3;24;Thursday;Maundy Thursday;Christian; 
2005-03-25;2005;3;25;Friday;Purim;Jewish holiday; 
2005-03-25;2005;3;25;Friday;Good Friday;State holiday;CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***
2005-03-25;2005;3;25;Friday;Maryland Day;Local observance;Maryland
2005-03-25;2005;3;25;Friday;Prince Jonah Kuhio Kalanianaole Day observed;State holiday;Hawaii
2005-03-26;2005;3;26;Saturday;Holy Saturday;Christian; 
2005-03-26;2005;3;26;Saturday;Prince Jonah Kuhio Kalanianaole Day;State holiday;Hawaii
2005-03-27;2005;3;27;Sunday;Easter Sunday;Observance, Christian; 
2005-03-28;2005;3;28;Monday;Easter Monday;Observance, Christian; 
2005-03-28;2005;3;28;Monday;Seward's Day;State holiday;Alaska
2005-03-31;2005;3;31;Thursday;C�sar Ch�vez Day;State holiday;CA*, CO***, TX***
2005-04-01;2005;4;1;Friday;Pascua Florida Day observed;Local observance;Florida
2005-04-02;2005;4;2;Saturday;Pascua Florida Day;Local observance;Florida
2005-04-03;2005;4;3;Sunday;Daylight Saving Time starts;Clock change/Daylight Saving Time; 
2005-04-06;2005;4;6;Wednesday;National Tartan Day;Observance; 
2005-04-12;2005;4;12;Tuesday;National Library Workers' Day;Observance; 
2005-04-15;2005;4;15;Friday;Tax Day;Observance; 
2005-04-15;2005;4;15;Friday;Father Damien Day;Local observance;Hawaii
2005-04-15;2005;4;15;Friday;Emancipation Day observed;State holiday;DC
2005-04-16;2005;4;16;Saturday;Emancipation Day;State holiday;DC
2005-04-18;2005;4;18;Monday;Patriot's Day;State holiday;Maine, Massachusetts
2005-04-18;2005;4;18;Monday;Boston Marathon;Sporting event; 
2005-04-21;2005;4;21;Thursday;The Prophet's Birthday;Muslim; 
2005-04-21;2005;4;21;Thursday;San Jacinto Day;State holiday;Texas
2005-04-22;2005;4;22;Friday;Oklahoma Day;Local observance;Oklahoma
2005-04-24;2005;4;24;Sunday;Passover (first day);Jewish holiday; 
2005-04-25;2005;4;25;Monday;Confederate Memorial Day;State holiday;Mississippi
2005-04-25;2005;4;25;Monday;Confederate Memorial Day;State holiday;Alabama
2005-04-25;2005;4;25;Monday;Confederate Heroes' Day;State holiday;Georgia
2005-04-26;2005;4;26;Tuesday;Confederate Heroes' Day;Local observance;Florida
2005-04-27;2005;4;27;Wednesday;Administrative Professionals Day;Observance; 
2005-04-28;2005;4;28;Thursday;Take our Daughters and Sons to Work Day;Observance; 
2005-04-29;2005;4;29;Friday;Orthodox Good Friday;Orthodox; 
2005-04-29;2005;4;29;Friday;Arbor Day;State holiday;Nebraska
2005-04-30;2005;4;30;Saturday;Orthodox Holy Saturday;Orthodox; 
2005-05-01;2005;5;1;Sunday;Last Day of Passover;Jewish holiday; 
2005-05-01;2005;5;1;Sunday;Orthodox Easter;Orthodox; 
2005-05-01;2005;5;1;Sunday;Law Day;Observance; 
2005-05-01;2005;5;1;Sunday;Loyalty Day;Observance; 
2005-05-01;2005;5;1;Sunday;Lei Day;Local observance;Hawaii
2005-05-02;2005;5;2;Monday;Orthodox Easter Monday;Orthodox; 
2005-05-04;2005;5;4;Wednesday;Kent State Shootings Remembrance;Local observance;Ohio
2005-05-04;2005;5;4;Wednesday;Rhode Island Independence Day;Local observance;Rhode Island
2005-05-05;2005;5;5;Thursday;Ascension Day;Christian; 
2005-05-05;2005;5;5;Thursday;Yom HaShoah;Jewish commemoration; 
2005-05-05;2005;5;5;Thursday;Cinco de Mayo;Observance; 
2005-05-05;2005;5;5;Thursday;National Day of Prayer;Observance; 
2005-05-06;2005;5;6;Friday;Kentucky Oaks;Sporting event; 
2005-05-06;2005;5;6;Friday;National Nurses Day;Observance; 
2005-05-07;2005;5;7;Saturday;Kentucky Derby;Sporting event; 
2005-05-08;2005;5;8;Sunday;Mother's Day;Observance; 
2005-05-08;2005;5;8;Sunday;Truman Day;State holiday;Missouri
2005-05-08;2005;5;8;Sunday;Victory in Europe Day;Observance; 
2005-05-09;2005;5;9;Monday;Truman Day observed;State holiday;Missouri
2005-05-10;2005;5;10;Tuesday;Confederate Memorial Day;State holiday;North Carolina, South Carolina
2005-05-12;2005;5;12;Thursday;Yom Ha'atzmaut;Jewish holiday; 
2005-05-15;2005;5;15;Sunday;Pentecost;Christian; 
2005-05-15;2005;5;15;Sunday;Peace Officers Memorial Day;Observance; 
2005-05-16;2005;5;16;Monday;Whit Monday;Christian; 
2005-05-20;2005;5;20;Friday;National Defense Transportation Day;Observance; 
2005-05-21;2005;5;21;Saturday;Armed Forces Day;Observance; 
2005-05-21;2005;5;21;Saturday;Preakness Stakes;Sporting event; 
2005-05-22;2005;5;22;Sunday;Trinity Sunday;Christian; 
2005-05-22;2005;5;22;Sunday;National Maritime Day;Observance; 
2005-05-25;2005;5;25;Wednesday;National Missing Children's Day;Observance; 
2005-05-26;2005;5;26;Thursday;Corpus Christi;Christian; 
2005-05-27;2005;5;27;Friday;Lag BaOmer;Jewish holiday; 
2005-05-30;2005;5;30;Monday;Memorial Day;Federal Holiday; 
2005-05-30;2005;5;30;Monday;Jefferson Davis' Birthday;Local observance;Mississippi
2005-06-01;2005;6;1;Wednesday;Statehood Day;Local observance;Kentucky, Tennessee
2005-06-03;2005;6;3;Friday;Jefferson Davis' Birthday;Local observance;Florida
2005-06-06;2005;6;6;Monday;Jefferson Davis' Birthday;State holiday;Alabama
2005-06-06;2005;6;6;Monday;D-Day;Observance; 
2005-06-11;2005;6;11;Saturday;Kamehameha Day;State holiday;Hawaii
2005-06-11;2005;6;11;Saturday;Belmont Stakes;Sporting event; 
2005-06-13;2005;6;13;Monday;Shavuot;Jewish holiday; 
2005-06-14;2005;6;14;Tuesday;Army Birthday;Observance; 
2005-06-14;2005;6;14;Tuesday;Flag Day;Observance; 
2005-06-17;2005;6;17;Friday;Bunker Hill Day;State holiday;Massachusetts
2005-06-19;2005;6;19;Sunday;Father's Day;Observance; 
2005-06-19;2005;6;19;Sunday;Juneteenth;Local observance;All except AZ, HI, MD, MT, ND, NH, SD, TX, UT
2005-06-19;2005;6;19;Sunday;Emancipation Day;State holiday;Texas
2005-06-20;2005;6;20;Monday;West Virginia Day;State holiday;West Virginia
2005-06-21;2005;6;21;Tuesday;June Solstice;Season; 
2005-07-04;2005;7;4;Monday;Independence Day;Federal Holiday; 
2005-07-13;2005;7;13;Wednesday;Nathan Bedford Forrest Day;Local observance;Tennessee
2005-07-14;2005;7;14;Thursday;Bastille Day;Observance; 
2005-07-24;2005;7;24;Sunday;Pioneer Day;State holiday;Utah
2005-07-24;2005;7;24;Sunday;Parents' Day;Observance; 
2005-07-25;2005;7;25;Monday;Pioneer Day observed;State holiday;Utah
2005-07-27;2005;7;27;Wednesday;National Korean War Veterans Armistice Day;Observance; 
2005-08-01;2005;8;1;Monday;Colorado Day;Local observance;Colorado
2005-08-04;2005;8;4;Thursday;Coast Guard Birthday;Observance; 
2005-08-07;2005;8;7;Sunday;Purple Heart Day;Observance; 
2005-08-08;2005;8;8;Monday;Victory Day;State holiday;Rhode Island
2005-08-14;2005;8;14;Sunday;Tisha B'Av;Jewish holiday; 
2005-08-15;2005;8;15;Monday;Assumption of Mary;Christian; 
2005-08-16;2005;8;16;Tuesday;Bennington Battle Day;State holiday;Vermont
2005-08-19;2005;8;19;Friday;Hawaii Statehood Day;State holiday;Hawaii
2005-08-19;2005;8;19;Friday;National Aviation Day;Observance; 
2005-08-21;2005;8;21;Sunday;Senior Citizens Day;Observance; 
2005-08-26;2005;8;26;Friday;Women's Equality Day;Observance; 
2005-08-27;2005;8;27;Saturday;Lyndon Baines Johnson Day;State holiday;Texas
2005-09-01;2005;9;1;Thursday;Isra and Mi'raj;Muslim; 
2005-09-05;2005;9;5;Monday;Labor Day;Federal Holiday; 
2005-09-09;2005;9;9;Friday;California Admission Day;Local observance;California
2005-09-10;2005;9;10;Saturday;Carl Garner Federal Lands Cleanup Day;Observance; 
2005-09-11;2005;9;11;Sunday;Patriot Day;Observance; 
2005-09-11;2005;9;11;Sunday;National Grandparents Day;Observance; 
2005-09-16;2005;9;16;Friday;Constitution Day and Citizenship Day observed;Observance; 
2005-09-16;2005;9;16;Friday;National POW/MIA Recognition Day;Observance; 
2005-09-17;2005;9;17;Saturday;Constitution Day and Citizenship Day;Observance; 
2005-09-18;2005;9;18;Sunday;Air Force Birthday;Observance; 
2005-09-22;2005;9;22;Thursday;September Equinox;Season; 
2005-09-22;2005;9;22;Thursday;Emancipation Day;Local observance;Ohio
2005-09-23;2005;9;23;Friday;Native American Day;Local observance;California
2005-09-25;2005;9;25;Sunday;Gold Star Mother's Day;Observance; 
2005-10-03;2005;10;3;Monday;Child Health Day;Observance; 
2005-10-04;2005;10;4;Tuesday;Feast of St Francis of Assisi;Christian; 
2005-10-04;2005;10;4;Tuesday;Rosh Hashana;State holiday;Texas***
2005-10-04;2005;10;4;Tuesday;Rosh Hashana;Jewish holiday; 
2005-10-05;2005;10;5;Wednesday;Ramadan Starts;Muslim; 
2005-10-09;2005;10;9;Sunday;Leif Erikson Day;Observance; 
2005-10-09;2005;10;9;Sunday;Chicago Marathon;Sporting event; 
2005-10-10;2005;10;10;Monday;Columbus Day;Federal Holiday;All except AK, AR, HI, NV
2005-10-10;2005;10;10;Monday;Native Americans' Day;Local observance;South Dakota
2005-10-10;2005;10;10;Monday;Indigenous People's Day;Local observance;California*
2005-10-13;2005;10;13;Thursday;Navy Birthday;Observance; 
2005-10-13;2005;10;13;Thursday;Yom Kippur;State holiday;Texas***
2005-10-13;2005;10;13;Thursday;Yom Kippur;Jewish holiday; 
2005-10-15;2005;10;15;Saturday;White Cane Safety Day;Observance; 
2005-10-15;2005;10;15;Saturday;Sweetest Day;Observance;13 states
2005-10-17;2005;10;17;Monday;Boss's Day;Observance; 
2005-10-18;2005;10;18;Tuesday;First Day of Sukkot;Jewish holiday; 
2005-10-18;2005;10;18;Tuesday;Alaska Day;State holiday;Alaska
2005-10-24;2005;10;24;Monday;Last Day of Sukkot;Jewish holiday; 
